label_A,label_B,count_lsa,avg_sim_lsa,n_A_lsa,n_B_lsa,ratio_A_lsa,ratio_B_lsa,count_sbert,avg_sim_sbert,n_A_sbert,n_B_sbert,ratio_A_sbert,ratio_B_sbert,count_tdidf,avg_sim_tdidf,n_A_tdidf,n_B_tdidf,ratio_A_tdidf,ratio_B_tdidf,count_sum_all_methods
Explore_options,Scheduling_appt,,,,,,,5.0,0.6245,18.0,153.0,0.2778,0.0327,,,,,,,5.0
Explore_options,Seeking_Approval,2.0,0.5673,18.0,29.0,0.1111,0.069,,,,,,,,,,,,,2.0
Explore_options,Share_options,,,,,,,2.0,0.7013,18.0,17.0,0.1111,0.1176,,,,,,,2.0
Explore_options,Symptoms,,,,,,,2.0,0.5559,18.0,115.0,0.1111,0.0174,,,,,,,2.0
Explore_options,active_participation_/involvement,2.0,0.563,18.0,146.0,0.1111,0.0137,12.0,0.6078,18.0,146.0,0.6667,0.0822,,,,,,,14.0
Explore_options,express_opinions,,,,,,,2.0,0.668,18.0,52.0,0.1111,0.0385,2.0,0.603,18.0,52.0,0.1111,0.0385,4.0
Explore_options,instruction,,,,,,,1.0,0.6827,18.0,44.0,0.0556,0.0227,,,,,,,1.0
Express_concern/unease,General_information,12.0,0.6678,25.0,162.0,0.48,0.0741,4.0,0.6441,25.0,162.0,0.16,0.0247,2.0,0.6977,25.0,162.0,0.08,0.0123,18.0
Express_concern/unease,Making_decision_together,,,,,,,2.0,0.6172,25.0,13.0,0.08,0.1538,,,,,,,2.0
Express_concern/unease,Reassurance,,,,,,,6.0,0.6242,25.0,14.0,0.24,0.4286,,,,,,,6.0
Express_concern/unease,Seeking_Approval,2.0,0.7366,25.0,29.0,0.08,0.069,5.0,0.5767,25.0,29.0,0.2,0.1724,,,,,,,7.0
Express_concern/unease,Symptoms,10.0,0.6461,25.0,115.0,0.4,0.087,9.0,0.6042,25.0,115.0,0.36,0.0783,2.0,0.9133,25.0,115.0,0.08,0.0174,21.0
Express_concern/unease,active_participation_/involvement,6.0,0.6365,25.0,146.0,0.24,0.0411,4.0,0.5843,25.0,146.0,0.16,0.0274,,,,,,,10.0
Express_concern/unease,express_opinions,2.0,0.5609,25.0,52.0,0.08,0.0385,,,,,,,,,,,,,2.0
Express_concern/unease,state_preferences,2.0,0.5545,25.0,45.0,0.08,0.0444,,,,,,,,,,,,,2.0
General_information,Health_care_access_and_quality,17.0,0.6036,162.0,100.0,0.1049,0.17,43.0,0.6313,162.0,100.0,0.2654,0.43,,,,,,,60.0
General_information,Maintain_communication,16.0,0.6095,162.0,74.0,0.0988,0.2162,22.0,0.6434,162.0,74.0,0.1358,0.2973,,,,,,,38.0
General_information,Making_decision_together,7.0,0.633,162.0,13.0,0.0432,0.5385,2.0,0.5626,162.0,13.0,0.0123,0.1538,,,,,,,9.0
General_information,Neighborhood_and_built_environment,2.0,0.6139,162.0,7.0,0.0123,0.2857,,,,,,,,,,,,,2.0
General_information,Positive_Remarks/Reward,2.0,0.7973,162.0,6.0,0.0123,0.3333,,,,,,,2.0,0.7269,162.0,6.0,0.0123,0.3333,4.0
General_information,Reassurance,4.0,0.7961,162.0,14.0,0.0247,0.2857,4.0,0.5799,162.0,14.0,0.0247,0.2857,2.0,0.8802,162.0,14.0,0.0123,0.1429,10.0
General_information,Scheduling_appt,42.0,0.6586,162.0,153.0,0.2593,0.2745,30.0,0.6262,162.0,153.0,0.1852,0.1961,5.0,0.5914,162.0,153.0,0.0309,0.0327,77.0
General_information,Seeking_Approval,6.0,0.5984,162.0,29.0,0.037,0.2069,2.0,0.5919,162.0,29.0,0.0123,0.069,,,,,,,8.0
General_information,Share_options,,,,,,,3.0,0.6124,162.0,17.0,0.0185,0.1765,,,,,,,3.0
General_information,Summarize_and_confirm_understanding,,,,,,,2.0,0.6404,162.0,7.0,0.0123,0.2857,,,,,,,2.0
General_information,Symptoms,44.0,0.6251,162.0,115.0,0.2716,0.3826,14.0,0.6129,162.0,115.0,0.0864,0.1217,,,,,,,58.0
General_information,active_participation_/involvement,48.0,0.6893,162.0,146.0,0.2963,0.3288,50.0,0.6465,162.0,146.0,0.3086,0.3425,15.0,0.6664,162.0,146.0,0.0926,0.1027,113.0
General_information,build_trust,4.0,0.706,162.0,9.0,0.0247,0.4444,2.0,0.6423,162.0,9.0,0.0123,0.2222,2.0,0.5528,162.0,9.0,0.0123,0.2222,8.0
General_information,checking_understanding/clarification,,,,,,,5.0,0.6231,162.0,20.0,0.0309,0.25,,,,,,,5.0
General_information,express_opinions,14.0,0.6157,162.0,52.0,0.0864,0.2692,14.0,0.6056,162.0,52.0,0.0864,0.2692,,,,,,,28.0
General_information,instruction,14.0,0.647,162.0,44.0,0.0864,0.3182,32.0,0.6082,162.0,44.0,0.1975,0.7273,2.0,0.576,162.0,44.0,0.0123,0.0455,48.0
General_information,invite_collaboration,3.0,0.5962,162.0,11.0,0.0185,0.2727,6.0,0.6622,162.0,11.0,0.037,0.5455,,,,,,,9.0
General_information,state_preferences,18.0,0.6785,162.0,45.0,0.1111,0.4,6.0,0.6212,162.0,45.0,0.037,0.1333,3.0,0.5675,162.0,45.0,0.0185,0.0667,27.0
Health_care_access_and_quality,Maintain_communication,4.0,0.7584,100.0,74.0,0.04,0.0541,9.0,0.6504,100.0,74.0,0.09,0.1216,,,,,,,13.0
Health_care_access_and_quality,Making_decision_together,2.0,0.6008,100.0,13.0,0.02,0.1538,,,,,,,,,,,,,2.0
Health_care_access_and_quality,Neighborhood_and_built_environment,4.0,0.5833,100.0,7.0,0.04,0.5714,1.0,0.596,100.0,7.0,0.01,0.1429,,,,,,,5.0
Health_care_access_and_quality,Prognosis,,,,,,,4.0,0.5704,100.0,6.0,0.04,0.6667,,,,,,,4.0
Health_care_access_and_quality,Scheduling_appt,32.0,0.6289,100.0,153.0,0.32,0.2092,52.0,0.6764,100.0,153.0,0.52,0.3399,,,,,,,84.0
Health_care_access_and_quality,Seeking_Approval,,,,,,,1.0,0.5957,100.0,29.0,0.01,0.0345,,,,,,,1.0
Health_care_access_and_quality,Symptoms,10.0,0.7295,100.0,115.0,0.1,0.087,4.0,0.621,100.0,115.0,0.04,0.0348,4.0,0.6286,100.0,115.0,0.04,0.0348,18.0
Health_care_access_and_quality,active_participation_/involvement,6.0,0.5824,100.0,146.0,0.06,0.0411,36.0,0.6327,100.0,146.0,0.36,0.2466,,,,,,,42.0
Health_care_access_and_quality,build_trust,2.0,0.6419,100.0,9.0,0.02,0.2222,,,,,,,,,,,,,2.0
Health_care_access_and_quality,checking_understanding/clarification,,,,,,,9.0,0.6812,100.0,20.0,0.09,0.45,,,,,,,9.0
Health_care_access_and_quality,express_opinions,4.0,0.6116,100.0,52.0,0.04,0.0769,1.0,0.6138,100.0,52.0,0.01,0.0192,,,,,,,5.0
Health_care_access_and_quality,instruction,2.0,0.7935,100.0,44.0,0.02,0.0455,23.0,0.645,100.0,44.0,0.23,0.5227,2.0,0.6113,100.0,44.0,0.02,0.0455,27.0
Health_care_access_and_quality,state_preferences,4.0,0.6228,100.0,45.0,0.04,0.0889,13.0,0.6382,100.0,45.0,0.13,0.2889,,,,,,,17.0
Maintain_communication,Making_decision_together,,,,,,,1.0,0.575,74.0,13.0,0.0135,0.0769,,,,,,,1.0
Maintain_communication,Positive_Remarks/Reward,2.0,0.7018,74.0,6.0,0.027,0.3333,,,,,,,,,,,,,2.0
Maintain_communication,Reassurance,,,,,,,1.0,0.5924,74.0,14.0,0.0135,0.0714,,,,,,,1.0
Maintain_communication,Scheduling_appt,13.0,0.6415,74.0,153.0,0.1757,0.085,34.0,0.6444,74.0,153.0,0.4595,0.2222,4.0,0.7008,74.0,153.0,0.0541,0.0261,51.0
Maintain_communication,Seeking_Approval,4.0,0.6045,74.0,29.0,0.0541,0.1379,,,,,,,,,,,,,4.0
Maintain_communication,Share_options,,,,,,,2.0,0.5818,74.0,17.0,0.027,0.1176,,,,,,,2.0
Maintain_communication,Symptoms,2.0,0.5761,74.0,115.0,0.027,0.0174,4.0,0.6415,74.0,115.0,0.0541,0.0348,,,,,,,6.0
Maintain_communication,active_participation_/involvement,64.0,0.7329,74.0,146.0,0.8649,0.4384,60.0,0.6509,74.0,146.0,0.8108,0.411,31.0,0.7093,74.0,146.0,0.4189,0.2123,155.0
Maintain_communication,build_trust,,,,,,,2.0,0.6555,74.0,9.0,0.027,0.2222,,,,,,,2.0
Maintain_communication,checking_understanding/clarification,,,,,,,3.0,0.569,74.0,20.0,0.0405,0.15,,,,,,,3.0
Maintain_communication,express_opinions,,,,,,,10.0,0.6509,74.0,52.0,0.1351,0.1923,,,,,,,10.0
Maintain_communication,instruction,11.0,0.5867,74.0,44.0,0.1486,0.25,14.0,0.6438,74.0,44.0,0.1892,0.3182,,,,,,,25.0
Maintain_communication,invite_collaboration,2.0,0.7608,74.0,11.0,0.027,0.1818,4.0,0.6269,74.0,11.0,0.0541,0.3636,2.0,0.7635,74.0,11.0,0.027,0.1818,8.0
Maintain_communication,signoff,4.0,0.6071,74.0,249.0,0.0541,0.0161,2.0,0.5821,74.0,249.0,0.027,0.008,,,,,,,6.0
Maintain_communication,state_preferences,2.0,0.5894,74.0,45.0,0.027,0.0444,7.0,0.6273,74.0,45.0,0.0946,0.1556,,,,,,,9.0
Making_decision_together,Positive_Remarks/Reward,2.0,0.5713,13.0,6.0,0.1538,0.3333,,,,,,,,,,,,,2.0
Making_decision_together,Reassurance,2.0,0.5633,13.0,14.0,0.1538,0.1429,,,,,,,,,,,,,2.0
Making_decision_together,Scheduling_appt,4.0,0.6989,13.0,153.0,0.3077,0.0261,2.0,0.6431,13.0,153.0,0.1538,0.0131,,,,,,,6.0
Making_decision_together,Seeking_Approval,,,,,,,4.0,0.6476,13.0,29.0,0.3077,0.1379,,,,,,,4.0
Making_decision_together,Share_options,,,,,,,3.0,0.5718,13.0,17.0,0.2308,0.1765,,,,,,,3.0
Making_decision_together,Symptoms,6.0,0.6542,13.0,115.0,0.4615,0.0522,,,,,,,2.0,0.6613,13.0,115.0,0.1538,0.0174,8.0
Making_decision_together,active_participation_/involvement,,,,,,,3.0,0.6505,13.0,146.0,0.2308,0.0205,,,,,,,3.0
Making_decision_together,express_opinions,,,,,,,2.0,0.6102,13.0,52.0,0.1538,0.0385,,,,,,,2.0
Making_decision_together,instruction,,,,,,,5.0,0.6205,13.0,44.0,0.3846,0.1136,,,,,,,5.0
Making_decision_together,invite_collaboration,,,,,,,1.0,0.6599,13.0,11.0,0.0769,0.0909,,,,,,,1.0
Neighborhood_and_built_environment,Scheduling_appt,,,,,,,1.0,0.592,7.0,153.0,0.1429,0.0065,,,,,,,1.0
Neighborhood_and_built_environment,active_participation_/involvement,4.0,0.5891,7.0,146.0,0.5714,0.0274,,,,,,,,,,,,,4.0
Positive_Remarks/Reward,Reassurance,2.0,0.7271,6.0,14.0,0.3333,0.1429,1.0,0.5721,6.0,14.0,0.1667,0.0714,,,,,,,3.0
Positive_Remarks/Reward,Symptoms,4.0,0.7079,6.0,115.0,0.6667,0.0348,7.0,0.6512,6.0,115.0,1.1667,0.0609,2.0,0.6308,6.0,115.0,0.3333,0.0174,13.0
Positive_Remarks/Reward,build_trust,2.0,0.6135,6.0,9.0,0.3333,0.2222,,,,,,,,,,,,,2.0
Positive_Remarks/Reward,state_preferences,2.0,0.6703,6.0,45.0,0.3333,0.0444,,,,,,,2.0,0.5622,6.0,45.0,0.3333,0.0444,4.0
Prognosis,Summarize_and_confirm_understanding,,,,,,,4.0,0.6474,6.0,7.0,0.6667,0.5714,,,,,,,4.0
Prognosis,Symptoms,,,,,,,6.0,0.5809,6.0,115.0,1.0,0.0522,,,,,,,6.0
Prognosis,active_participation_/involvement,4.0,0.7242,6.0,146.0,0.6667,0.0274,10.0,0.6882,6.0,146.0,1.6667,0.0685,2.0,0.6935,6.0,146.0,0.3333,0.0137,16.0
Prognosis,checking_understanding/clarification,,,,,,,2.0,0.5745,6.0,20.0,0.3333,0.1,,,,,,,2.0
Reassurance,Scheduling_appt,2.0,0.5523,14.0,153.0,0.1429,0.0131,,,,,,,,,,,,,2.0
Reassurance,Symptoms,10.0,0.6875,14.0,115.0,0.7143,0.087,5.0,0.5932,14.0,115.0,0.3571,0.0435,,,,,,,15.0
Reassurance,active_participation_/involvement,4.0,0.6815,14.0,146.0,0.2857,0.0274,2.0,0.6198,14.0,146.0,0.1429,0.0137,,,,,,,6.0
Reassurance,express_opinions,1.0,0.5567,14.0,52.0,0.0714,0.0192,,,,,,,,,,,,,1.0
Reassurance,instruction,2.0,0.5513,14.0,44.0,0.1429,0.0455,2.0,0.6737,14.0,44.0,0.1429,0.0455,,,,,,,4.0
Reassurance,state_preferences,1.0,0.5551,14.0,45.0,0.0714,0.0222,,,,,,,,,,,,,1.0
Sadness/fear,Symptoms,,,,,,,4.0,0.6769,10.0,115.0,0.4,0.0348,,,,,,,4.0
Sadness/fear,instruction,,,,,,,2.0,0.6454,10.0,44.0,0.2,0.0455,,,,,,,2.0
Sadness/fear,signoff,2.0,0.5892,10.0,249.0,0.2,0.008,,,,,,,,,,,,,2.0
Scheduling_appt,Seeking_Approval,7.0,0.7139,153.0,29.0,0.0458,0.2414,14.0,0.6535,153.0,29.0,0.0915,0.4828,2.0,0.6165,153.0,29.0,0.0131,0.069,23.0
Scheduling_appt,Share_options,4.0,0.6447,153.0,17.0,0.0261,0.2353,9.0,0.6687,153.0,17.0,0.0588,0.5294,,,,,,,13.0
Scheduling_appt,Symptoms,9.0,0.6693,153.0,115.0,0.0588,0.0783,1.0,0.5532,153.0,115.0,0.0065,0.0087,,,,,,,10.0
Scheduling_appt,active_participation_/involvement,26.0,0.6294,153.0,146.0,0.1699,0.1781,90.0,0.6544,153.0,146.0,0.5882,0.6164,1.0,0.552,153.0,146.0,0.0065,0.0068,117.0
Scheduling_appt,checking_understanding/clarification,2.0,0.6086,153.0,20.0,0.0131,0.1,10.0,0.6487,153.0,20.0,0.0654,0.5,,,,,,,12.0
Scheduling_appt,express_opinions,8.0,0.7145,153.0,52.0,0.0523,0.1538,15.0,0.6535,153.0,52.0,0.098,0.2885,2.0,0.8463,153.0,52.0,0.0131,0.0385,25.0
Scheduling_appt,instruction,23.0,0.732,153.0,44.0,0.1503,0.5227,44.0,0.6476,153.0,44.0,0.2876,1.0,8.0,0.6924,153.0,44.0,0.0523,0.1818,75.0
Scheduling_appt,invite_collaboration,4.0,0.5839,153.0,11.0,0.0261,0.3636,8.0,0.64,153.0,11.0,0.0523,0.7273,,,,,,,12.0
Scheduling_appt,signoff,3.0,0.5837,153.0,249.0,0.0196,0.012,4.0,0.6646,153.0,249.0,0.0261,0.0161,,,,,,,7.0
Scheduling_appt,state_preferences,14.0,0.6547,153.0,45.0,0.0915,0.3111,47.0,0.6178,153.0,45.0,0.3072,1.0444,,,,,,,61.0
Seeking_Approval,Share_options,,,,,,,2.0,0.6341,29.0,17.0,0.069,0.1176,,,,,,,2.0
Seeking_Approval,active_participation_/involvement,4.0,0.5571,29.0,146.0,0.1379,0.0274,19.0,0.6233,29.0,146.0,0.6552,0.1301,,,,,,,23.0
Seeking_Approval,checking_understanding/clarification,2.0,0.7086,29.0,20.0,0.069,0.1,2.0,0.7743,29.0,20.0,0.069,0.1,,,,,,,4.0
Seeking_Approval,express_opinions,2.0,0.6651,29.0,52.0,0.069,0.0385,4.0,0.705,29.0,52.0,0.1379,0.0769,,,,,,,6.0
Seeking_Approval,invite_collaboration,,,,,,,2.0,0.7033,29.0,11.0,0.069,0.1818,,,,,,,2.0
Seeking_Approval,salutation,2.0,0.743,29.0,333.0,0.069,0.006,,,,,,,2.0,0.6276,29.0,333.0,0.069,0.006,4.0
Seeking_Approval,state_preferences,,,,,,,5.0,0.6575,29.0,45.0,0.1724,0.1111,,,,,,,5.0
Share_options,Symptoms,2.0,0.6113,17.0,115.0,0.1176,0.0174,4.0,0.6105,17.0,115.0,0.2353,0.0348,,,,,,,6.0
Share_options,active_participation_/involvement,,,,,,,2.0,0.5646,17.0,146.0,0.1176,0.0137,,,,,,,2.0
Share_options,checking_understanding/clarification,,,,,,,1.0,0.5569,17.0,20.0,0.0588,0.05,,,,,,,1.0
Share_options,express_opinions,,,,,,,2.0,0.6379,17.0,52.0,0.1176,0.0385,,,,,,,2.0
Share_options,invite_collaboration,2.0,0.8247,17.0,11.0,0.1176,0.1818,2.0,0.6037,17.0,11.0,0.1176,0.1818,,,,,,,4.0
Share_options,signoff,2.0,0.6032,17.0,249.0,0.1176,0.008,,,,,,,,,,,,,2.0
Share_options,state_preferences,2.0,0.5821,17.0,45.0,0.1176,0.0444,,,,,,,,,,,,,2.0
Summarize_and_confirm_understanding,Symptoms,,,,,,,2.0,0.5775,7.0,115.0,0.2857,0.0174,,,,,,,2.0
Summarize_and_confirm_understanding,active_participation_/involvement,,,,,,,2.0,0.6452,7.0,146.0,0.2857,0.0137,,,,,,,2.0
Summarize_and_confirm_understanding,express_opinions,,,,,,,2.0,0.6994,7.0,52.0,0.2857,0.0385,,,,,,,2.0
Summarize_and_confirm_understanding,instruction,,,,,,,1.0,0.598,7.0,44.0,0.1429,0.0227,,,,,,,1.0
Symptoms,active_participation_/involvement,16.0,0.6034,115.0,146.0,0.1391,0.1096,17.0,0.5996,115.0,146.0,0.1478,0.1164,,,,,,,33.0
Symptoms,express_opinions,10.0,0.7938,115.0,52.0,0.087,0.1923,16.0,0.6532,115.0,52.0,0.1391,0.3077,6.0,0.7627,115.0,52.0,0.0522,0.1154,32.0
Symptoms,instruction,,,,,,,2.0,0.5511,115.0,44.0,0.0174,0.0455,,,,,,,2.0
Symptoms,signoff,,,,,,,1.0,0.6197,115.0,249.0,0.0087,0.004,,,,,,,1.0
Symptoms,state_preferences,2.0,0.6535,115.0,45.0,0.0174,0.0444,4.0,0.6184,115.0,45.0,0.0348,0.0889,,,,,,,6.0
active_participation_/involvement,build_trust,2.0,0.8781,146.0,9.0,0.0137,0.2222,2.0,0.758,146.0,9.0,0.0137,0.2222,2.0,0.8057,146.0,9.0,0.0137,0.2222,6.0
active_participation_/involvement,checking_understanding/clarification,2.0,0.7042,146.0,20.0,0.0137,0.1,12.0,0.6345,146.0,20.0,0.0822,0.6,,,,,,,14.0
active_participation_/involvement,express_opinions,4.0,0.6721,146.0,52.0,0.0274,0.0769,7.0,0.6118,146.0,52.0,0.0479,0.1346,,,,,,,11.0
active_participation_/involvement,instruction,10.0,0.6288,146.0,44.0,0.0685,0.2273,14.0,0.6333,146.0,44.0,0.0959,0.3182,,,,,,,24.0
active_participation_/involvement,invite_collaboration,4.0,0.5883,146.0,11.0,0.0274,0.3636,7.0,0.6751,146.0,11.0,0.0479,0.6364,,,,,,,11.0
active_participation_/involvement,salutation,1.0,0.6223,146.0,333.0,0.0068,0.003,,,,,,,,,,,,,1.0
active_participation_/involvement,state_preferences,6.0,0.76,146.0,45.0,0.0411,0.1333,31.0,0.6665,146.0,45.0,0.2123,0.6889,2.0,1.0,146.0,45.0,0.0137,0.0444,39.0
build_trust,express_opinions,,,,,,,2.0,0.6741,9.0,52.0,0.2222,0.0385,,,,,,,2.0
checking_understanding/clarification,express_opinions,2.0,0.5541,20.0,52.0,0.1,0.0385,8.0,0.6261,20.0,52.0,0.4,0.1538,,,,,,,10.0
checking_understanding/clarification,instruction,,,,,,,1.0,0.5547,20.0,44.0,0.05,0.0227,,,,,,,1.0
checking_understanding/clarification,state_preferences,,,,,,,4.0,0.6732,20.0,45.0,0.2,0.0889,,,,,,,4.0
express_opinions,instruction,,,,,,,3.0,0.6001,52.0,44.0,0.0577,0.0682,,,,,,,3.0
express_opinions,invite_collaboration,,,,,,,2.0,0.702,52.0,11.0,0.0385,0.1818,,,,,,,2.0
express_opinions,state_preferences,5.0,0.6792,52.0,45.0,0.0962,0.1111,7.0,0.6461,52.0,45.0,0.1346,0.1556,,,,,,,12.0
instruction,invite_collaboration,2.0,0.6632,44.0,11.0,0.0455,0.1818,3.0,0.6185,44.0,11.0,0.0682,0.2727,,,,,,,5.0
instruction,state_preferences,2.0,0.5707,44.0,45.0,0.0455,0.0444,2.0,0.563,44.0,45.0,0.0455,0.0444,,,,,,,4.0
invite_collaboration,state_preferences,,,,,,,6.0,0.6337,11.0,45.0,0.5455,0.1333,,,,,,,6.0
salutation,signoff,9.0,0.8642,333.0,249.0,0.027,0.0361,12.0,0.7389,333.0,249.0,0.036,0.0482,6.0,1.0,333.0,249.0,0.018,0.0241,27.0
signoff,state_preferences,4.0,0.5568,249.0,45.0,0.0161,0.0889,,,,,,,,,,,,,4.0
