method,label_a,label_b,conflict_count,mean_similarity,median_similarity,max_similarity,min_similarity
lsa,CareCoordinationProvider,PartnershipPatient → statePreferences,9,0.7162,0.7324,0.7432,0.6431
lsa,PartnershipPatient → statePreferences,SDOH → HealthCareAccessAndQuality,9,0.6861,0.6376,0.7656,0.6021
lsa,CareCoordinationPatient,SharedDecisionPatient → SeekingApproval,9,0.6501,0.6563,0.6922,0.6093
lsa,PartnershipPatient → Clinical care,PartnershipPatient → salutation,9,1.0,1.0,1.0,1.0
lsa,SharedDecisionPatient → ExploreOptions,SharedDecisionPatient → SeekingApproval,8,0.6474,0.6446,0.6898,0.6104
lsa,PartnershipPatient → Clinical care,PartnershipPatient → alignment,8,0.7778,0.7647,0.8616,0.7202
lsa,PartnershipProvider → Clinical Care,SDOH → HealthCareAccessAndQuality,8,0.7435,0.7429,0.8198,0.6683
lsa,PartnershipPatient → Clinical care,PartnershipProvider → connection,8,0.758,0.7322,0.8678,0.6999
lsa,CareCoordinationProvider,PartnershipPatient → Clinical care,8,0.7332,0.6978,0.8923,0.645
lsa,PartnershipPatient → Clinical care,PartnershipPatient → signoff,8,0.7241,0.725,0.8196,0.627
lsa,PartnershipPatient → activeParticipation/involvement,PartnershipProvider → checkingUnderstanding/clarification,8,0.7182,0.6718,0.9238,0.6055
lsa,PartnershipPatient → statePreferences,PartnershipProvider → inviteCollabration,7,0.6983,0.7007,0.7335,0.6707
lsa,CareCoordinationProvider,SDOH → EconomicStability,6,0.6354,0.621,0.6642,0.621
lsa,SDOH → HealthCareAccessAndQuality,SharedDecisionProvider → ShareOptions,6,0.6833,0.7044,0.7271,0.6183
lsa,PartnershipProvider → maintainCommunication,SocioEmotionalBehaviour,6,0.7088,0.7095,0.804,0.6127
lsa,CareCoordinationProvider,SocioEmotionalBehaviour,6,0.7287,0.7157,0.7546,0.7157
lsa,PartnershipProvider → requestsForOpinion,SDOH → HealthCareAccessAndQuality,6,0.6937,0.7248,0.7341,0.6223
lsa,PartnershipPatient → build trust,SDOH → EconomicStability,6,0.7119,0.6515,0.8689,0.6154
lsa,PartnershipPatient → Clinical care,PartnershipPatient → build trust,6,0.7019,0.6788,0.8014,0.6255
lsa,PartnershipPatient → Clinical care,PartnershipProvider → maintainCommunication,6,0.6395,0.615,0.702,0.6015
lsa,PartnershipPatient → Clinical care,PartnershipProvider → alignment,6,0.6978,0.6659,0.8057,0.6217
lsa,PartnershipPatient → salutation,SDOH → EconomicStability,6,0.6466,0.6466,0.6466,0.6466
lsa,PartnershipProvider → alignment,SDOH → NeighborhoodAndBuiltEnvironment,6,0.6273,0.6277,0.6462,0.6079
lsa,PartnershipProvider → Clinical Care,SharedDecisionPatient → SeekingApproval,6,0.6555,0.6717,0.6774,0.6176
lsa,PartnershipProvider → maintainCommunication,SDOH → HealthCareAccessAndQuality,6,0.6331,0.6267,0.6503,0.6224
lsa,PartnershipPatient → expressOpinions,SharedDecisionPatient → SeekingApproval,6,0.653,0.6639,0.6639,0.6312
lsa,PartnershipPatient → Appreciation/Gratitude,PartnershipPatient → expressOpinions,6,0.7215,0.7718,0.7784,0.6142
lsa,CareCoordinationPatient,PartnershipPatient → Appreciation/Gratitude,6,0.8527,0.8811,0.9709,0.7061
lsa,CareCoordinationProvider,SDOH → HealthCareAccessAndQuality,6,0.7257,0.6962,0.8477,0.6331
lsa,PartnershipPatient → Clinical care,PartnershipProvider → requestsForOpinion,5,0.7552,0.6172,0.9703,0.6007
lsa,CareCoordinationPatient,SharedDecisionPatient → ExploreOptions,5,0.6732,0.658,0.7211,0.6081
lsa,PartnershipPatient → Appreciation/Gratitude,PartnershipProvider → Appreciation/Gratitude,5,1.0,1.0,1.0,1.0
lsa,PartnershipProvider → requestsForOpinion,SocioEmotionalBehaviour,4,0.8194,0.8194,0.8687,0.7702
lsa,PartnershipPatient → statePreferences,SDOH → EconomicStability,4,0.7077,0.7077,0.7791,0.6362
lsa,PartnershipPatient → alignment,PartnershipProvider → requestsForOpinion,4,0.7002,0.7002,0.755,0.6453
lsa,PartnershipProvider → requestsForOpinion,SharedDecisionPatient → ExploreOptions,4,0.6471,0.6471,0.6603,0.6338
lsa,SharedDecisionProvider → Approval/Reinforcement,SocioEmotionalBehaviour,4,0.7151,0.7151,0.8021,0.6281
lsa,CareCoordinationPatient,PartnershipProvider → maintainCommunication,4,0.6712,0.6712,0.7002,0.6421
lsa,PartnershipPatient → activeParticipation/involvement,PartnershipProvider → build trust,4,0.668,0.668,0.7273,0.6087
lsa,PartnershipProvider → maintainCommunication,SDOH → SocialAndCommunityContext,4,0.744,0.744,0.7753,0.7126
lsa,PartnershipProvider → connection,SDOH → EconomicStability,4,0.7324,0.7324,0.8156,0.6492
lsa,PartnershipPatient → statePreferences,SharedDecisionPatient → ApprovalofDecision/Reinforcement,4,0.7006,0.7034,0.7527,0.643
lsa,CareCoordinationPatient,PartnershipProvider → connection,4,0.7389,0.7389,0.8092,0.6686
lsa,CareCoordinationPatient,PartnershipPatient → connection,4,0.7389,0.7389,0.8092,0.6686
lsa,SDOH → EconomicStability,SharedDecisionPatient → ExploreOptions,4,0.7025,0.7025,0.7856,0.6194
lsa,SDOH → HealthCareAccessAndQuality,SharedDecisionPatient → SeekingApproval,4,0.7329,0.7329,0.7804,0.6854
lsa,PartnershipPatient → expressOpinions,SDOH → SocialAndCommunityContext,4,0.6521,0.6521,0.6856,0.6185
lsa,PartnershipPatient → build trust,PartnershipProvider → inviteCollabration,4,0.6406,0.6406,0.6747,0.6066
lsa,SDOH → HealthCareAccessAndQuality,SharedDecisionPatient → ExploreOptions,4,0.724,0.724,0.7962,0.6518
lsa,PartnershipPatient → statePreferences,PartnershipProvider → maintainCommunication,4,0.8399,0.8399,0.8497,0.8301
lsa,CareCoordinationProvider,PartnershipProvider → Clinical Care,4,0.83,0.83,0.83,0.83
lsa,PartnershipPatient → statePreferences,SharedDecisionProvider → ShareOptions,4,0.6382,0.6333,0.6729,0.6134
lsa,CareCoordinationPatient,PartnershipPatient → alignment,4,0.6777,0.6777,0.7065,0.6488
lsa,PartnershipProvider → Appreciation/Gratitude,PartnershipProvider → signoff,4,1.0,1.0,1.0,1.0
lsa,PartnershipPatient → expressOpinions,SharedDecisionProvider → ShareOptions,3,0.7199,0.7434,0.7434,0.6729
lsa,PartnershipPatient → expressOpinions,PartnershipProvider → inviteCollabration,3,0.7327,0.7324,0.7335,0.7324
lsa,PartnershipPatient → Appreciation/Gratitude,PartnershipPatient → build trust,3,0.7267,0.78,0.78,0.6203
lsa,CareCoordinationProvider,PartnershipPatient → expressOpinions,3,0.7432,0.7432,0.7432,0.7432
lsa,PartnershipPatient → alignment,PartnershipProvider → alignment,3,1.0,1.0,1.0,1.0
lsa,PartnershipProvider → inviteCollabration,SharedDecisionPatient → ApprovalofDecision/Reinforcement,3,0.7221,0.7752,0.7752,0.616
lsa,PartnershipPatient → activeParticipation/involvement,SharedDecisionProvider → ShareOptions,3,0.7208,0.7164,0.7296,0.7164
lsa,CareCoordinationPatient,PartnershipProvider → inviteCollabration,3,0.6871,0.7016,0.7016,0.658
lsa,PartnershipPatient → statePreferences,SocioEmotionalBehaviour,2,0.7176,0.7176,0.7176,0.7176
lsa,PartnershipPatient → alignment,SDOH → EconomicStability,2,0.8038,0.8038,0.8038,0.8038
lsa,PartnershipPatient → expressOpinions,PartnershipProvider → requestsForOpinion,2,0.8016,0.8016,0.8016,0.8016
lsa,PartnershipPatient → statePreferences,PartnershipProvider → requestsForOpinion,2,0.6172,0.6172,0.6172,0.6172
lsa,PartnershipProvider → alignment,SDOH → SocialAndCommunityContext,2,0.7159,0.7159,0.7159,0.7159
lsa,PartnershipPatient → connection,SDOH → SocialAndCommunityContext,2,0.6865,0.6865,0.6865,0.6865
lsa,PartnershipPatient → statePreferences,PartnershipProvider → build trust,2,0.6061,0.6061,0.6061,0.6061
lsa,PartnershipPatient → alignment,SocioEmotionalBehaviour,2,0.8203,0.8203,0.8203,0.8203
lsa,SDOH → EconomicStability,SDOH → EducationAccessAndQuality,2,0.6546,0.6546,0.6546,0.6546
lsa,PartnershipPatient → expressOpinions,SharedDecisionPatient → ExploreOptions,2,0.6091,0.6091,0.6091,0.6091
lsa,SDOH → NeighborhoodAndBuiltEnvironment,SharedDecisionPatient → ApprovalofDecision/Reinforcement,2,0.6189,0.6189,0.6189,0.6189
lsa,PartnershipPatient → connection,SocioEmotionalBehaviour,2,0.6535,0.6535,0.6535,0.6535
lsa,PartnershipPatient → Appreciation/Gratitude,PartnershipPatient → statePreferences,2,0.7858,0.7858,0.7858,0.7858
lsa,CareCoordinationProvider,PartnershipProvider → maintainCommunication,2,0.6761,0.6761,0.6761,0.6761
lsa,PartnershipProvider → checkingUnderstanding/clarification,PartnershipProvider → maintainCommunication,2,0.724,0.724,0.724,0.724
lsa,CareCoordinationProvider,PartnershipProvider → checkingUnderstanding/clarification,2,0.6711,0.6711,0.6711,0.6711
lsa,PartnershipProvider → checkingUnderstanding/clarification,SDOH → HealthCareAccessAndQuality,2,0.6395,0.6395,0.6395,0.6395
lsa,PartnershipPatient → activeParticipation/involvement,PartnershipProvider → connection,2,0.9381,0.9381,0.9381,0.9381
lsa,PartnershipPatient → connection,SDOH → EconomicStability,2,0.6492,0.6492,0.6492,0.6492
lsa,PartnershipPatient → statePreferences,PartnershipProvider → checkingUnderstanding/clarification,2,0.7003,0.7003,0.7003,0.7003
lsa,PartnershipPatient → expressOpinions,PartnershipProvider → checkingUnderstanding/clarification,2,0.6023,0.6023,0.6023,0.6023
lsa,PartnershipProvider → build trust,SDOH → EconomicStability,2,0.8732,0.8732,0.8732,0.8732
lsa,CareCoordinationPatient,SDOH → SocialAndCommunityContext,2,0.6421,0.6421,0.6421,0.6421
lsa,CareCoordinationPatient,PartnershipProvider → Clinical Care,2,0.6245,0.6245,0.6245,0.6245
lsa,PartnershipPatient → alignment,PartnershipPatient → expressOpinions,2,0.6435,0.6435,0.6435,0.6435
lsa,PartnershipProvider → Clinical Care,SDOH → NeighborhoodAndBuiltEnvironment,2,0.6107,0.6107,0.6107,0.6107
lsa,PartnershipPatient → connection,PartnershipPatient → expressOpinions,2,0.8115,0.8115,0.8115,0.8115
lsa,PartnershipPatient → statePreferences,SDOH → SocialAndCommunityContext,2,0.6039,0.6039,0.6039,0.6039
lsa,SDOH → NeighborhoodAndBuiltEnvironment,SharedDecisionPatient → SeekingApproval,2,0.8191,0.8191,0.8191,0.8191
lsa,PartnershipPatient → connection,SharedDecisionPatient → SeekingApproval,2,0.6155,0.6155,0.6155,0.6155
lsa,PartnershipProvider → inviteCollabration,SDOH → EconomicStability,2,0.6003,0.6003,0.6003,0.6003
lsa,PartnershipProvider → Clinical Care,SocioEmotionalBehaviour,2,0.6034,0.6034,0.6034,0.6034
lsa,CareCoordinationProvider,PartnershipProvider → inviteCollabration,2,0.7594,0.7594,0.7594,0.7594
lsa,SDOH → SocialAndCommunityContext,SharedDecisionPatient → SeekingApproval,2,0.8825,0.8825,0.8825,0.8825
lsa,PartnershipProvider → checkingUnderstanding/clarification,SocioEmotionalBehaviour,2,0.7337,0.7337,0.7337,0.7337
lsa,CareCoordinationPatient,SharedDecisionPatient → ApprovalofDecision/Reinforcement,2,0.6915,0.6915,0.6915,0.6915
lsa,PartnershipPatient → expressOpinions,SharedDecisionPatient → ApprovalofDecision/Reinforcement,2,0.6285,0.6285,0.6541,0.6029
lsa,SharedDecisionPatient → ApprovalofDecision/Reinforcement,SharedDecisionProvider → Approval/Reinforcement,2,0.6477,0.6477,0.6477,0.6477
lsa,PartnershipProvider → inviteCollabration,SharedDecisionProvider → Approval/Reinforcement,2,0.635,0.635,0.635,0.635
lsa,PartnershipProvider → inviteCollabration,SharedDecisionProvider → ShareOptions,2,0.9113,0.9113,0.9113,0.9113
lsa,CareCoordinationPatient,SharedDecisionProvider → ShareOptions,2,0.6127,0.6127,0.6239,0.6014
lsa,PartnershipPatient → alignment,SDOH → HealthCareAccessAndQuality,2,0.9848,0.9848,0.9848,0.9848
lsa,SharedDecisionPatient → ExploreOptions,SocioEmotionalBehaviour,2,0.6032,0.6032,0.6038,0.6025
lsa,PartnershipPatient → activeParticipation/involvement,PartnershipPatient → signoff,2,0.6547,0.6547,0.6547,0.6547
lsa,PartnershipPatient → alignment,SDOH → NeighborhoodAndBuiltEnvironment,2,0.6821,0.6821,0.6821,0.6821
lsa,SharedDecisionPatient → ExploreOptions,SharedDecisionProvider → ShareOptions,2,0.7519,0.7519,0.7519,0.7519
lsa,PartnershipPatient → Appreciation/Gratitude,SDOH → HealthCareAccessAndQuality,2,0.8331,0.8331,0.8331,0.8331
lsa,PartnershipPatient → build trust,SocioEmotionalBehaviour,2,0.794,0.794,0.794,0.794
lsa,CareCoordinationProvider,PartnershipPatient → alignment,2,0.7123,0.7123,0.7123,0.7123
lsa,PartnershipPatient → alignment,PartnershipProvider → Clinical Care,1,0.6106,0.6106,0.6106,0.6106
lsa,PartnershipPatient → alignment,PartnershipPatient → build trust,1,0.6158,0.6158,0.6158,0.6158
lsa,PartnershipPatient → build trust,SDOH → HealthCareAccessAndQuality,1,0.6003,0.6003,0.6003,0.6003
lsa,PartnershipPatient → activeParticipation/involvement,SharedDecisionPatient → ApprovalofDecision/Reinforcement,1,0.7225,0.7225,0.7225,0.7225
lsa,CareCoordinationProvider,SDOH → SocialAndCommunityContext,1,0.7025,0.7025,0.7025,0.7025
lsa,PartnershipPatient → signoff,SDOH → SocialAndCommunityContext,1,0.6335,0.6335,0.6335,0.6335
lsa,PartnershipPatient → activeParticipation/involvement,PartnershipPatient → connection,1,1.0,1.0,1.0,1.0
lsa,PartnershipPatient → Clinical care,PartnershipProvider → salutation,1,1.0,1.0,1.0,1.0
jaccard,PartnershipPatient → Appreciation/Gratitude,PartnershipPatient → signoff,167,0.964,1.0,1.0,0.6
jaccard,PartnershipPatient → salutation,PartnershipProvider → salutation,107,1.0,1.0,1.0,1.0
jaccard,PartnershipPatient → signoff,PartnershipProvider → signoff,78,0.9957,1.0,1.0,0.6667
jaccard,PartnershipPatient → activeParticipation/involvement,PartnershipProvider → maintainCommunication,30,0.8733,1.0,1.0,0.6
jaccard,PartnershipPatient → Appreciation/Gratitude,PartnershipProvider → signoff,21,1.0,1.0,1.0,1.0
jaccard,PartnershipPatient → activeParticipation/involvement,PartnershipPatient → expressOpinions,21,0.7095,0.6667,1.0,0.6
jaccard,PartnershipPatient → activeParticipation/involvement,PartnershipPatient → statePreferences,11,0.7697,0.6667,1.0,0.6
jaccard,PartnershipPatient → Clinical care,PartnershipPatient → activeParticipation/involvement,10,0.6267,0.6,0.6667,0.6
jaccard,PartnershipPatient → Clinical care,PartnershipPatient → salutation,10,1.0,1.0,1.0,1.0
jaccard,PartnershipPatient → signoff,PartnershipProvider → Appreciation/Gratitude,6,1.0,1.0,1.0,1.0
jaccard,CareCoordinationPatient,CareCoordinationProvider,4,0.6667,0.6667,0.6667,0.6667
jaccard,PartnershipPatient → connection,PartnershipProvider → connection,3,0.7333,0.6,1.0,0.6
jaccard,PartnershipPatient → alignment,PartnershipProvider → alignment,3,1.0,1.0,1.0,1.0
jaccard,PartnershipProvider → Appreciation/Gratitude,PartnershipProvider → signoff,3,1.0,1.0,1.0,1.0
jaccard,PartnershipPatient → Clinical care,SDOH → HealthCareAccessAndQuality,2,0.6,0.6,0.6,0.6
jaccard,CareCoordinationPatient,PartnershipPatient → Clinical care,2,0.6,0.6,0.6,0.6
jaccard,SDOH → NeighborhoodAndBuiltEnvironment,SDOH → SocialAndCommunityContext,2,0.6,0.6,0.6,0.6
jaccard,PartnershipPatient → Appreciation/Gratitude,PartnershipProvider → Appreciation/Gratitude,2,1.0,1.0,1.0,1.0
jaccard,PartnershipPatient → Clinical care,PartnershipPatient → connection,2,0.6667,0.6667,0.6667,0.6667
jaccard,PartnershipPatient → activeParticipation/involvement,PartnershipPatient → connection,2,0.8571,0.8571,0.8571,0.8571
jaccard,CareCoordinationPatient,PartnershipPatient → expressOpinions,2,0.6,0.6,0.6,0.6
jaccard,PartnershipPatient → Clinical care,PartnershipProvider → Clinical Care,2,0.6,0.6,0.6,0.6
jaccard,PartnershipPatient → expressOpinions,PartnershipPatient → statePreferences,2,0.6,0.6,0.6,0.6
jaccard,PartnershipPatient → activeParticipation/involvement,SDOH → HealthCareAccessAndQuality,2,0.6,0.6,0.6,0.6
jaccard,PartnershipPatient → Clinical care,SharedDecisionPatient → SeekingApproval,2,0.6,0.6,0.6,0.6
jaccard,PartnershipPatient → activeParticipation/involvement,SDOH → EconomicStability,2,0.6667,0.6667,0.6667,0.6667
jaccard,PartnershipPatient → Clinical care,PartnershipProvider → checkingUnderstanding/clarification,1,1.0,1.0,1.0,1.0
