pair,src_label,src_text,nbr_label,nbr_text,similarity
Clinical care || EconomicStability,Clinical care,is draining,EconomicStability,my occupation is,0.7785
activeParticipation/involvement || statePreferences,activeParticipation/involvement,I would like to,statePreferences,would like to request for you,0.6007
Clinical care || SeekingApproval,Clinical care,schedule an appointment,SeekingApproval,can I schedule an appointment for genetic testing?,0.6854
Clinical care || activeParticipation/involvement,Clinical care,to come in for a routine check up,activeParticipation/involvement,I need to come in,0.6292
activeParticipation/involvement || maintainCommunication,activeParticipation/involvement,I wanted to let you know,maintainCommunication,I will let you know,0.7773
Clinical care || EconomicStability,EconomicStability,for a summer internship,Clinical care,for metronidazole for bacterial vaginitis,1.0
Clinical care || EconomicStability,EconomicStability,for a summer internship,Clinical care,for a cough,1.0
Clinical care || activeParticipation/involvement,Clinical care,Please send a refill prescription,activeParticipation/involvement,please send to email,0.6301
Clinical care || NeighborhoodAndBuiltEnvironment,Clinical care,nearly out of the Rybelsus,NeighborhoodAndBuiltEnvironment,dfilled out of country,0.7779
Clinical care || EconomicStability,Clinical care,for a cough,EconomicStability,for a summer internship,1.0
SeekingApproval || activeParticipation/involvement,SeekingApproval,if you could call in a steroid pack?,activeParticipation/involvement,If you could call me back,0.7412
SeekingApproval || SocialAndCommunityContext,SeekingApproval,if you could call in a steroid pack?,SocialAndCommunityContext,if you could call my fiance at,0.741
Clinical care || SeekingApproval,Clinical care,schedule an appointment for labs,SeekingApproval,can I schedule an appointment for genetic testing?,0.6669
Clinical care || SocialAndCommunityContext,Clinical care,I have a recheck appointment,SocialAndCommunityContext,I have voluntarily quarantined,0.6296
Clinical care || SocialAndCommunityContext,Clinical care,I have a recheck appointment,SocialAndCommunityContext,I have 2 children,0.6296
SeekingApproval || activeParticipation/involvement,activeParticipation/involvement,If you could call me back,SeekingApproval,if you could call in a steroid pack?,0.7412
SocialAndCommunityContext || activeParticipation/involvement,activeParticipation/involvement,If you could call me back,SocialAndCommunityContext,if you could call my fiance at,0.7187
SeekingApproval || SocialAndCommunityContext,SocialAndCommunityContext,if you could call my fiance at,SeekingApproval,if you could call in a steroid pack?,0.741
SocialAndCommunityContext || activeParticipation/involvement,SocialAndCommunityContext,if you could call my fiance at,activeParticipation/involvement,If you could call me back,0.7187
Clinical care || EconomicStability,EconomicStability,to go work,Clinical care,to go over labs,0.643
Clinical care || HealthCareAccessAndQuality,HealthCareAccessAndQuality,that is called ABCF,Clinical care,that is hurting,0.7063
activeParticipation/involvement || checkingUnderstanding/clarification,checkingUnderstanding/clarification,i can not guarantee,activeParticipation/involvement,I can not monitor my sugar,0.9396
EconomicStability || checkingUnderstanding/clarification,checkingUnderstanding/clarification,i can not guarantee,EconomicStability,I can NOT afford these anymore,0.6996
EconomicStability || checkingUnderstanding/clarification,checkingUnderstanding/clarification,i can not guarantee,EconomicStability,I can not get off work,0.6148
activeParticipation/involvement || maintainCommunication,maintainCommunication,Please let me know,activeParticipation/involvement,Please let me know,1.0
activeParticipation/involvement || maintainCommunication,maintainCommunication,Please let me know,activeParticipation/involvement,Please let me know,1.0
activeParticipation/involvement || maintainCommunication,maintainCommunication,Please let me know,activeParticipation/involvement,Please let me know,1.0
activeParticipation/involvement || maintainCommunication,maintainCommunication,Please let me know,activeParticipation/involvement,please let me know,1.0
activeParticipation/involvement || maintainCommunication,maintainCommunication,Please let me know,activeParticipation/involvement,let me know,0.8496
activeParticipation/involvement || maintainCommunication,maintainCommunication,Please let me know,activeParticipation/involvement,Could you please let me know,0.7675
ApprovalofDecision/Reinforcement || inviteCollabration,ApprovalofDecision/Reinforcement,I would like to proceed with this,inviteCollabration,if you will like to proceed with this referral,0.7713
Approval/Reinforcement || ApprovalofDecision/Reinforcement,ApprovalofDecision/Reinforcement,I would like to proceed with this,Approval/Reinforcement,proceed with this request,0.6648
Clinical care || HealthCareAccessAndQuality,Clinical care,from a mammogram,HealthCareAccessAndQuality,from Org7,0.6601
Clinical care || SocialAndCommunityContext,SocialAndCommunityContext,in my family,Clinical care,I have a huge lump in my cheek,0.7234
Clinical care || SocialAndCommunityContext,SocialAndCommunityContext,in my family,Clinical care,call in my addrell medication,0.6142
SocialAndCommunityContext || activeParticipation/involvement,SocialAndCommunityContext,My sister was able to have,activeParticipation/involvement,I was able to,0.6278
EconomicStability || checkingUnderstanding/clarification,EconomicStability,I can NOT afford these anymore,checkingUnderstanding/clarification,i can not guarantee,0.6996
EconomicStability || activeParticipation/involvement,EconomicStability,I can NOT afford these anymore,activeParticipation/involvement,I can not monitor my sugar,0.6574
Clinical care || alignment,alignment,Okay!,Clinical care,I am doing okay mentally,0.6723
Clinical care || EconomicStability,Clinical care,doing the trulicity,EconomicStability,doing my duties,0.7989
Approval/Reinforcement || ApprovalofDecision/Reinforcement,Approval/Reinforcement,proceed with this request,ApprovalofDecision/Reinforcement,I would like to proceed with this,0.6648
Approval/Reinforcement || inviteCollabration,Approval/Reinforcement,proceed with this request,inviteCollabration,if you will like to proceed with this referral,0.602
ShareOptions || inviteCollabration,ShareOptions,if you would like to give it try,inviteCollabration,If you would like to double check,0.7213
ShareOptions || expressOpinions,ShareOptions,if you would like to give it try,expressOpinions,I would like to give them documentation,0.6814
Clinical care || expressOpinions,Clinical care,Iâ€™m blacking out,expressOpinions,Iâ€™m assuming,0.7654
Clinical care || HealthCareAccessAndQuality,Clinical care,falling now,HealthCareAccessAndQuality,is now a walgreens,0.8201
EconomicStability || HealthCareAccessAndQuality,EconomicStability,it was much cheaper,HealthCareAccessAndQuality,it was on HOLD,0.7643
EconomicStability || ExploreOptions,EconomicStability,it was much cheaper,ExploreOptions,if it was a possiblility,0.7406
Clinical care || EconomicStability,EconomicStability,it was much cheaper,Clinical care,It was refilled,0.6883
HealthCareAccessAndQuality || NeighborhoodAndBuiltEnvironment,HealthCareAccessAndQuality,out of my pocket,NeighborhoodAndBuiltEnvironment,dfilled out of country,0.6648
Clinical Care || Clinical care,Clinical Care,to set up the appointment,Clinical care,appointment set up,0.7033
Clinical Care || Clinical care,Clinical Care,to set up the appointment,Clinical care,doctor appointment set up,0.642
NeighborhoodAndBuiltEnvironment || SeekingApproval,SeekingApproval,Would you be able to resubmit it again please?,NeighborhoodAndBuiltEnvironment,I wonâ€™t be able to drive in it,0.6825
HealthCareAccessAndQuality || activeParticipation/involvement,HealthCareAccessAndQuality,Org2 called me,activeParticipation/involvement,I called Bethesda,0.6258
expressOpinions || statePreferences,expressOpinions,I would like,statePreferences,would like a recommendation,1.0
activeParticipation/involvement || expressOpinions,expressOpinions,I would like,activeParticipation/involvement,I would like to,0.8227
expressOpinions || statePreferences,expressOpinions,I would like,statePreferences,would like this updated,0.7221
expressOpinions || statePreferences,expressOpinions,I would like,statePreferences,I would like to have,0.6934
activeParticipation/involvement || expressOpinions,expressOpinions,I would like,activeParticipation/involvement,I would like to see,0.6673
activeParticipation/involvement || expressOpinions,expressOpinions,I would like,activeParticipation/involvement,I would like to see,0.6673
Clinical care || checkingUnderstanding/clarification,Clinical care,Please see attached letter,checkingUnderstanding/clarification,Please see attached letter,1.0
EconomicStability || HealthCareAccessAndQuality,HealthCareAccessAndQuality,how the payment goes?,EconomicStability,I couldn't make the payment,0.7644
Clinical care || SeekingApproval,Clinical care,if I can get refills,SeekingApproval,Can I get,0.6225
activeParticipation/involvement || statePreferences,statePreferences,I would like to have,activeParticipation/involvement,I would like to,0.8429
expressOpinions || statePreferences,statePreferences,I would like to have,expressOpinions,I would like,0.6934
activeParticipation/involvement || statePreferences,statePreferences,I would like to have,activeParticipation/involvement,I would like to see,0.6837
activeParticipation/involvement || statePreferences,statePreferences,I would like to have,activeParticipation/involvement,I would like to see,0.6837
Clinical Care || Clinical care,Clinical care,my blood work done,Clinical Care,blood work,0.6592
NeighborhoodAndBuiltEnvironment || alignment,NeighborhoodAndBuiltEnvironment,my ride that I depend on,alignment,That works,0.6675
Clinical care || SeekingApproval,SeekingApproval,Can I get,Clinical care,if I can get refills,0.6225
HealthCareAccessAndQuality || activeParticipation/involvement,activeParticipation/involvement,I will make,HealthCareAccessAndQuality,I will fall asleep,0.6664
Clinical Care || Clinical care,Clinical Care,an Abdomen CT scan,Clinical care,for the CT scan,0.7781
Clinical Care || Clinical care,Clinical Care,This CT scan is,Clinical care,for the CT scan,0.7462
ApprovalofDecision/Reinforcement || inviteCollabration,inviteCollabration,if you will like to proceed with this referral,ApprovalofDecision/Reinforcement,I would like to proceed with this,0.7713
Approval/Reinforcement || inviteCollabration,inviteCollabration,if you will like to proceed with this referral,Approval/Reinforcement,proceed with this request,0.602
ExploreOptions || ShareOptions,ShareOptions,or if you have any question you can give me a call,ExploreOptions,or maybe if she can give me a call,0.6579
EconomicStability || activeParticipation/involvement,EconomicStability,I would pay half,activeParticipation/involvement,Would I pay half of $427,0.7967
Clinical Care || Clinical care,Clinical care,for the CT scan,Clinical Care,an Abdomen CT scan,0.7781
Clinical Care || Clinical care,Clinical care,for the CT scan,Clinical Care,This CT scan is,0.7462
EconomicStability || activeParticipation/involvement,activeParticipation/involvement,Would I pay half of $427,EconomicStability,I would pay half,0.7967
activeParticipation/involvement || statePreferences,statePreferences,would like to request for you,activeParticipation/involvement,I would like to,0.6007
Clinical care || HealthCareAccessAndQuality,Clinical care,help me with my prescriptions,HealthCareAccessAndQuality,ill help with my insomnia,0.616
Appreciation/Gratitude || HealthCareAccessAndQuality,HealthCareAccessAndQuality,which one would be covered,Appreciation/Gratitude,would be greatly appreciated,0.6968
maintainCommunication || statePreferences,statePreferences,getting this done as soon as possible,maintainCommunication,as soon as a i get a reply,0.648
activeParticipation/involvement || checkingUnderstanding/clarification,activeParticipation/involvement,I can not monitor my sugar,checkingUnderstanding/clarification,i can not guarantee,0.9396
EconomicStability || activeParticipation/involvement,activeParticipation/involvement,I can not monitor my sugar,EconomicStability,I can NOT afford these anymore,0.6574
HealthCareAccessAndQuality || expressOpinions,HealthCareAccessAndQuality,It is a program from the government,expressOpinions,it is impossible,0.6645
HealthCareAccessAndQuality || expressOpinions,HealthCareAccessAndQuality,it is a assistance program,expressOpinions,it is impossible,0.6646
Clinical care || HealthCareAccessAndQuality,HealthCareAccessAndQuality,is now a walgreens,Clinical care,falling now,0.8201
EconomicStability || NeighborhoodAndBuiltEnvironment,EconomicStability,finances are the barriers,NeighborhoodAndBuiltEnvironment,the roads are icing,0.6585
Clinical care || SocialAndCommunityContext,SocialAndCommunityContext,recent passing of my brother,Clinical care,because of my condition,0.7217
SocialAndCommunityContext || signoff,signoff,I had an X-ray done,SocialAndCommunityContext,I had a visitor,0.6005
Clinical care || HealthCareAccessAndQuality,Clinical care,those results and reports,HealthCareAccessAndQuality,eating scrambled eggs and soup,0.6217
HealthCareAccessAndQuality || NeighborhoodAndBuiltEnvironment,HealthCareAccessAndQuality,"you have $6,350 out of pocket",NeighborhoodAndBuiltEnvironment,dfilled out of country,0.6069
connection || expressOpinions,connection,Blessed to have,expressOpinions,I am supposed to have,0.6148
activeParticipation/involvement || connection,activeParticipation/involvement,I look forward to hearing from you,connection,look forward to hearing from you,1.0
activeParticipation/involvement || connection,activeParticipation/involvement,I look forward to hearing from you,connection,Look forward to seeing you,0.6201
activeParticipation/involvement || expressOpinions,expressOpinions,I need,activeParticipation/involvement,I need,1.0
activeParticipation/involvement || expressOpinions,expressOpinions,I need,activeParticipation/involvement,I need,1.0
activeParticipation/involvement || expressOpinions,expressOpinions,I need,activeParticipation/involvement,I need a document,1.0
activeParticipation/involvement || expressOpinions,expressOpinions,I need,activeParticipation/involvement,Need a Paxil refill 10mg,0.6487
Clinical Care || Clinical care,Clinical Care,blood work,Clinical care,view my blood work,0.7942
Clinical Care || Clinical care,Clinical Care,blood work,Clinical care,my blood work done,0.6592
Clinical Care || Clinical care,Clinical Care,blood work,Clinical care,do I need blood work done?,0.627
Appreciation/Gratitude || HealthCareAccessAndQuality,Appreciation/Gratitude,would be greatly appreciated,HealthCareAccessAndQuality,which one would be covered,0.6968
Appreciation/Gratitude || statePreferences,Appreciation/Gratitude,would be greatly appreciated,statePreferences,Phone visit would be great,0.6278
Appreciation/Gratitude || expressOpinions,Appreciation/Gratitude,would be greatly appreciated,expressOpinions,I just thought it would be worth a shot,0.6115
NeighborhoodAndBuiltEnvironment || SocialAndCommunityContext,SocialAndCommunityContext,catching up with a live person,NeighborhoodAndBuiltEnvironment,I live in Troup,0.6154
Clinical Care || Clinical care,Clinical care,view my blood work,Clinical Care,blood work,0.7942
ExploreOptions || activeParticipation/involvement,activeParticipation/involvement,is there any possible way,ExploreOptions,Is there any other medication,0.6151
SeekingApproval || activeParticipation/involvement,activeParticipation/involvement,is there any possible way,SeekingApproval,Is there any way that you could all in Bactrim DS,0.6125
ExploreOptions || ShareOptions,ExploreOptions,or maybe if she can give me a call,ShareOptions,or if you have any question you can give me a call,0.6579
EconomicStability || activeParticipation/involvement,activeParticipation/involvement,I have been trying,EconomicStability,I have been crazy busy,0.6286
Clinical Care || Clinical care,Clinical care,appointment set up,Clinical Care,to set up the appointment,0.7033
Clinical care || HealthCareAccessAndQuality,Clinical care,It was refilled,HealthCareAccessAndQuality,it was on HOLD,0.7245
Clinical care || ExploreOptions,Clinical care,It was refilled,ExploreOptions,if it was a possiblility,0.702
Clinical care || EconomicStability,Clinical care,It was refilled,EconomicStability,it was much cheaper,0.6883
EconomicStability || connection,EconomicStability,doesn't have good reception,connection,Have a good day,0.6859
activeParticipation/involvement || inviteCollabration,activeParticipation/involvement,please leave message,inviteCollabration,leave a message,0.9375
alignment || requestsForOpinion,alignment,Ok,requestsForOpinion,is that ok,0.6041
HealthCareAccessAndQuality || NeighborhoodAndBuiltEnvironment,HealthCareAccessAndQuality,sent to Org2 on Org2,NeighborhoodAndBuiltEnvironment,I am moving to Org2,0.622
ExploreOptions || HealthCareAccessAndQuality,HealthCareAccessAndQuality,it was on HOLD,ExploreOptions,if it was a possiblility,0.7795
EconomicStability || HealthCareAccessAndQuality,HealthCareAccessAndQuality,it was on HOLD,EconomicStability,it was much cheaper,0.7643
Clinical care || HealthCareAccessAndQuality,HealthCareAccessAndQuality,it was on HOLD,Clinical care,It was refilled,0.7245
ShareOptions || inviteCollabration,inviteCollabration,If you would like to double check,ShareOptions,if you would like to give it try,0.7213
activeParticipation/involvement || inviteCollabration,inviteCollabration,If you would like to double check,activeParticipation/involvement,I would like to,0.6499
activeParticipation/involvement || requestsForOpinion,activeParticipation/involvement,what is my #patient Id,requestsForOpinion,What is a good address,0.6044
HealthCareAccessAndQuality || activeParticipation/involvement,activeParticipation/involvement,Trying to finish,HealthCareAccessAndQuality,I am trying to get a disability placard,0.7731
Clinical care || EconomicStability,EconomicStability,No $ to buy benadryl,Clinical care,no adverse affects,0.6195
SocialAndCommunityContext || activeParticipation/involvement,activeParticipation/involvement,have not been,SocialAndCommunityContext,have not been around the public too much,0.6547
Clinical care || SocialAndCommunityContext,Clinical care,I have a cavity,SocialAndCommunityContext,I have voluntarily quarantined,1.0
Clinical care || SocialAndCommunityContext,Clinical care,I have a cavity,SocialAndCommunityContext,I have 2 children,1.0
Clinical care || SocialAndCommunityContext,Clinical care,I have a cavity,SocialAndCommunityContext,I have 2 Easter lunch banquets I have to attend,0.746
Clinical care || HealthCareAccessAndQuality,Clinical care,that is hurting,HealthCareAccessAndQuality,that is called ABCF,0.7063
NeighborhoodAndBuiltEnvironment || SocialAndCommunityContext,NeighborhoodAndBuiltEnvironment,I live in Troup,SocialAndCommunityContext,catching up with a live person,0.6154
Clinical Care || Clinical care,Clinical care,doctor appointment set up,Clinical Care,to set up the appointment,0.642
Clinical care || HealthCareAccessAndQuality,HealthCareAccessAndQuality,from Org7,Clinical care,from a mammogram,0.6601
Clinical care || salutation,Clinical care,Hi,salutation,Hi,1.0
Clinical care || salutation,Clinical care,Hi,salutation,Hi,1.0
Clinical care || salutation,Clinical care,Hi,salutation,Hi,1.0
Clinical care || salutation,Clinical care,Hi,salutation,Hi,1.0
Clinical care || salutation,Clinical care,Hi,salutation,Hi,1.0
Clinical care || salutation,Clinical care,Hi,salutation,Hi,1.0
Clinical care || salutation,Clinical care,Hi,salutation,Hi,1.0
Clinical care || salutation,Clinical care,Hi,salutation,Hi!,1.0
Clinical care || salutation,Clinical care,Hi,salutation,Hi,1.0
Clinical care || salutation,Clinical care,Hi,salutation,Hi!,1.0
SocialAndCommunityContext || maintainCommunication,SocialAndCommunityContext,this is my motherâ€™s phone,maintainCommunication,This is just a reminder,0.6104
Clinical care || statePreferences,statePreferences,Spanish is preferred,Clinical care,is draining,1.0
EconomicStability || statePreferences,statePreferences,Spanish is preferred,EconomicStability,my occupation is,0.7785
NeighborhoodAndBuiltEnvironment || alignment,alignment,That works,NeighborhoodAndBuiltEnvironment,my ride that I depend on,0.6675
alignment || expressOpinions,alignment,That works,expressOpinions,hoping that IF is a possibility!!,0.6031
Appreciation/Gratitude || build trust,Appreciation/Gratitude,thank you for your time and your assistance,build trust,for your reassurance,0.6085
Clinical Care || Clinical care,Clinical Care,Fenofibrate 54 mg 1 PO QD,Clinical care,drospirenone 3 mg,0.6685
HealthCareAccessAndQuality || activeParticipation/involvement,activeParticipation/involvement,I called Bethesda,HealthCareAccessAndQuality,Org2 called me,0.6258
NeighborhoodAndBuiltEnvironment || SocialAndCommunityContext,NeighborhoodAndBuiltEnvironment,I had to go out of town,SocialAndCommunityContext,husband out of town,0.6362
activeParticipation/involvement || expressOpinions,activeParticipation/involvement,I would like to see,expressOpinions,I would like,0.6673
EconomicStability || HealthCareAccessAndQuality,HealthCareAccessAndQuality,ill help with my insomnia,EconomicStability,doesnâ€™t work with my schedule,0.6428
Clinical care || HealthCareAccessAndQuality,HealthCareAccessAndQuality,ill help with my insomnia,Clinical care,help me with my prescriptions,0.616
EconomicStability || activeParticipation/involvement,activeParticipation/involvement,I have been recieving,EconomicStability,I have been crazy busy,0.7773
Clinical care || expressOpinions,expressOpinions,Iâ€™m assuming,Clinical care,Iâ€™m blacking out,0.7654
activeParticipation/involvement || expressOpinions,expressOpinions,Iâ€™m assuming,activeParticipation/involvement,Iâ€™m needing,0.7071
Clinical care || expressOpinions,expressOpinions,Iâ€™m assuming,Clinical care,Iâ€™m having the brown discharge,0.6548
Clinical care || statePreferences,statePreferences,refill asap,Clinical care,refill  Everything,0.6332
