phrase_text,phrase_type,occurrences,doc_freq,avg_len_char,avg_len_tokens,top_label_by_PMI,top_label_PMI,label_purity,label_entropy,label_Care_Coordination_docfreq,label_Diagnostics_docfreq,label_Drugs_docfreq,label_General_information_docfreq,label_Scheduling_appt_docfreq,label_Symptoms_docfreq,label_Care_Coordination_PMI,label_Diagnostics_PMI,label_Drugs_PMI,label_General_information_PMI,label_Scheduling_appt_PMI,label_Symptoms_PMI
this round,NP,2,1,10,2,Drugs,2.585,1.0,0.0,0,0,1,0,0,0,,,2.585,,,
of Ibrance,PP,4,2,10,2,Drugs,2.585,1.0,0.0,0,0,2,0,0,0,,,2.585,,,
Ibrance,NP,6,3,7,1,Drugs,2.585,1.0,0.0,0,0,3,0,0,0,,,2.585,,,
just,ADVP,29,17,4,1,Diagnostics,0.4975,0.2353,2.469241,3,4,2,3,4,1,0.0825,0.4975,-0.5025,0.0825,0.4975,-1.5025
checking,VP,5,3,8,1,Diagnostics,2.0,0.6667,0.918296,0,2,1,0,0,0,,2.0,1.0,,,
You,NP,2,1,3,1,Scheduling_appt,2.585,1.0,0.0,0,0,0,0,1,0,,,,,2.585,
should be hearing,VP,2,1,17,3,Scheduling_appt,2.585,1.0,0.0,0,0,0,0,1,0,,,,,2.585,
from the secretary,PP,2,1,18,3,Scheduling_appt,2.585,1.0,0.0,0,0,0,0,1,0,,,,,2.585,
the secretary,NP,2,1,13,2,Scheduling_appt,2.585,1.0,0.0,0,0,0,0,1,0,,,,,2.585,
with an  appointment,PP,2,1,20,3,Scheduling_appt,2.585,1.0,0.0,0,0,0,0,1,0,,,,,2.585,
an  appointment,NP,2,1,15,2,Scheduling_appt,2.585,1.0,0.0,0,0,0,0,1,0,,,,,2.585,
Dr  Person2,NP,6,4,11,2,Scheduling_appt,1.585,0.5,1.5,1,0,0,1,2,0,0.585,,,0.585,1.585,
was checking,VP,2,1,12,2,General_information,2.585,1.0,0.0,0,0,0,1,0,0,,,,2.585,,
on the whooping cough,PP,2,1,21,4,General_information,2.585,1.0,0.0,0,0,0,1,0,0,,,,2.585,,
the whooping cough,NP,2,1,18,3,General_information,2.585,1.0,0.0,0,0,0,1,0,0,,,,2.585,,
whooping,VP,2,1,8,1,General_information,2.585,1.0,0.0,0,0,0,1,0,0,,,,2.585,,
with my WBC,PP,1,1,11,3,General_information,2.585,1.0,0.0,0,0,0,1,0,0,,,,2.585,,
my WBC,NP,3,3,6,2,Diagnostics,2.0,0.6667,0.918296,0,2,0,1,0,0,,2.0,,1.0,,
Hi Person1 report,NP,1,1,17,3,Care_Coordination,2.585,1.0,0.0,1,0,0,0,0,0,2.585,,,,,
from MM/DD/YYYY,PP,2,1,15,2,Care_Coordination,2.585,1.0,0.0,1,0,0,0,0,0,2.585,,,,,
faxed,VP,6,3,5,1,Care_Coordination,2.585,1.0,0.0,3,0,0,0,0,0,2.585,,,,,
to Dr  Person2 office Person6 Person3 RN,PP,1,1,40,7,Care_Coordination,2.585,1.0,0.0,1,0,0,0,0,0,2.585,,,,,
Dr  Person2 office Person6 Person3 RN,NP,1,1,37,6,Care_Coordination,2.585,1.0,0.0,1,0,0,0,0,0,2.585,,,,,
report,NP,1,1,6,1,Care_Coordination,2.585,1.0,0.0,1,0,0,0,0,0,2.585,,,,,
to Dr  Person2 office,PP,1,1,21,4,Care_Coordination,2.585,1.0,0.0,1,0,0,0,0,0,2.585,,,,,
Dr  Person2 office,NP,1,1,18,3,Care_Coordination,2.585,1.0,0.0,1,0,0,0,0,0,2.585,,,,,
received,VP,3,2,8,1,Diagnostics,1.585,0.5,1.0,0,1,0,1,0,0,,1.585,,1.585,,
my CT chest evaluation,NP,2,1,22,4,Diagnostics,2.585,1.0,0.0,0,1,0,0,0,0,,2.585,,,,
to lowest usage Oxy,PP,2,1,19,4,Drugs,2.585,1.0,0.0,0,0,1,0,0,0,,,2.585,,,
lowest usage Oxy,NP,2,1,16,3,Drugs,2.585,1.0,0.0,0,0,1,0,0,0,,,2.585,,,
dealing,VP,2,1,7,1,Drugs,2.585,1.0,0.0,0,0,1,0,0,0,,,2.585,,,
w break,NP,2,1,7,2,Drugs,2.585,1.0,0.0,0,0,1,0,0,0,,,2.585,,,
through pain,PP,2,1,12,2,Drugs,2.585,1.0,0.0,0,0,1,0,0,0,,,2.585,,,
pain,NP,5,3,4,1,Symptoms,2.0,0.6667,0.918296,0,0,1,0,0,2,,,1.0,,,2.0
work down,VP,1,1,9,2,Drugs,2.585,1.0,0.0,0,0,1,0,0,0,,,2.585,,,
Have not had,VP,2,1,12,3,Symptoms,2.585,1.0,0.0,0,0,0,0,0,1,,,,,,2.585
a fever,NP,2,1,7,2,Symptoms,2.585,1.0,0.0,0,0,0,0,0,1,,,,,,2.585
since MM/DD/YYYY evening,PP,1,1,24,3,Symptoms,2.585,1.0,0.0,0,0,0,0,0,1,,,,,,2.585
MM/DD/YYYY evening,NP,1,1,18,2,Symptoms,2.585,1.0,0.0,0,0,0,0,0,1,,,,,,2.585
seems,VP,5,3,5,1,Symptoms,2.0,0.6667,0.918296,1,0,0,0,0,2,1.0,,,,,2.0
my,NP,2,1,2,1,Care_Coordination,2.585,1.0,0.0,1,0,0,0,0,0,2.585,,,,,
follow up,VP,3,2,9,2,Care_Coordination,2.585,1.0,0.0,2,0,0,0,0,0,2.585,,,,,
with Dr. Person2,PP,6,4,16,3,Care_Coordination,2.585,1.0,0.0,4,0,0,0,0,0,2.585,,,,,
did not get scheduled,VP,2,1,21,4,Care_Coordination,2.585,1.0,0.0,1,0,0,0,0,0,2.585,,,,,
get,VP,5,4,3,1,Care_Coordination,2.1699,0.75,0.811278,3,0,0,0,1,0,2.1699,,,,0.585,
for tomorrow,PP,1,1,12,2,Care_Coordination,2.585,1.0,0.0,1,0,0,0,0,0,2.585,,,,,
tomorrow,NP,1,1,8,1,Care_Coordination,2.585,1.0,0.0,1,0,0,0,0,0,2.585,,,,,
told,VP,4,3,4,1,Care_Coordination,1.0,0.3333,1.584963,1,1,0,0,0,1,1.0,1.0,,,,1.0
mentioned,VP,2,1,9,1,Diagnostics,2.585,1.0,0.0,0,1,0,0,0,0,,2.585,,,,
the CT chest results,NP,2,1,20,4,Diagnostics,2.585,1.0,0.0,0,1,0,0,0,0,,2.585,,,,
would be,VP,4,2,8,2,Diagnostics,1.585,0.5,1.0,0,1,0,0,0,1,,1.585,,,,1.585
in another report,PP,1,1,17,3,Diagnostics,2.585,1.0,0.0,0,1,0,0,0,0,,2.585,,,,
another report,NP,1,1,14,2,Diagnostics,2.585,1.0,0.0,0,1,0,0,0,0,,2.585,,,,
Her email address,NP,2,1,17,3,Care_Coordination,2.585,1.0,0.0,1,0,0,0,0,0,2.585,,,,,
just under 20 ml,NP,2,1,16,4,Symptoms,2.585,1.0,0.0,0,0,0,0,0,1,,,,,,2.585
in the past 24 hour,PP,2,1,19,5,Symptoms,2.585,1.0,0.0,0,0,0,0,0,1,,,,,,2.585
the past 24 hour,NP,2,1,16,4,Symptoms,2.585,1.0,0.0,0,0,0,0,0,1,,,,,,2.585
18 ml,NP,2,1,5,2,Symptoms,2.585,1.0,0.0,0,0,0,0,0,1,,,,,,2.585
Those results,NP,2,1,13,2,Diagnostics,2.585,1.0,0.0,0,1,0,0,0,0,,2.585,,,,
came in,VP,4,2,7,2,Diagnostics,2.585,1.0,0.0,0,2,0,0,0,0,,2.585,,,,
the message,NP,3,2,11,2,Care_Coordination,1.585,0.5,1.0,1,1,0,0,0,0,1.585,1.585,,,,
the doctor,NP,1,1,10,2,Diagnostics,2.585,1.0,0.0,0,1,0,0,0,0,,2.585,,,,
would advise,VP,2,1,12,2,Care_Coordination,2.585,1.0,0.0,1,0,0,0,0,0,2.585,,,,,
the third shot,NP,2,1,14,3,Care_Coordination,2.585,1.0,0.0,1,0,0,0,0,0,2.585,,,,,
would like,VP,6,3,10,2,Scheduling_appt,2.0,0.6667,0.918296,0,0,1,0,2,0,,,1.0,,2.0,
a virtual call,NP,4,2,14,3,Scheduling_appt,2.585,1.0,0.0,0,0,0,0,2,0,,,,,2.585,
with you,PP,4,2,8,2,Care_Coordination,1.585,0.5,1.0,1,0,0,0,1,0,1.585,,,,1.585,
to-discuss,VP,2,1,10,1,Scheduling_appt,2.585,1.0,0.0,0,0,0,0,1,0,,,,,2.585,
next steps,NP,5,3,10,2,Care_Coordination,2.0,0.6667,0.918296,2,0,0,0,1,0,2.0,,,,1.0,
a prescription,NP,2,1,14,2,Drugs,2.585,1.0,0.0,0,0,1,0,0,0,,,2.585,,,
for Ativan,PP,2,1,10,2,Drugs,2.585,1.0,0.0,0,0,1,0,0,0,,,2.585,,,
Ativan,NP,2,1,6,1,Drugs,2.585,1.0,0.0,0,0,1,0,0,0,,,2.585,,,
have,VP,20,13,4,1,Diagnostics,0.8845,0.3077,2.411602,2,4,2,1,1,3,-0.1155,0.8845,-0.1155,-1.1155,-1.1155,0.4695
Did you receive,VP,2,1,15,3,Diagnostics,2.585,1.0,0.0,0,1,0,0,0,0,,2.585,,,,
in My Chart,PP,2,1,11,3,Diagnostics,2.585,1.0,0.0,0,1,0,0,0,0,,2.585,,,,
My Chart,NP,3,2,8,2,Diagnostics,2.585,1.0,0.0,0,2,0,0,0,0,,2.585,,,,
were going,VP,2,1,10,2,Diagnostics,2.585,1.0,0.0,0,1,0,0,0,0,,2.585,,,,
to do,VP,2,1,5,2,Diagnostics,2.585,1.0,0.0,0,1,0,0,0,0,,2.585,,,,
all,NP,2,1,3,1,Diagnostics,2.585,1.0,0.0,0,1,0,0,0,0,,2.585,,,,
of the blood test,PP,2,1,17,4,Diagnostics,2.585,1.0,0.0,0,1,0,0,0,0,,2.585,,,,
the blood test,NP,2,1,14,3,Diagnostics,2.585,1.0,0.0,0,1,0,0,0,0,,2.585,,,,
had put,VP,1,1,7,2,Diagnostics,2.585,1.0,0.0,0,1,0,0,0,0,,2.585,,,,
to DR  Person2,PP,2,1,14,3,Care_Coordination,2.585,1.0,0.0,1,0,0,0,0,0,2.585,,,,,
DR  Person2,NP,2,1,11,2,Care_Coordination,2.585,1.0,0.0,1,0,0,0,0,0,2.585,,,,,
will let,VP,1,1,8,2,Care_Coordination,2.585,1.0,0.0,1,0,0,0,0,0,2.585,,,,,
Sony,NP,2,1,4,1,General_information,2.585,1.0,0.0,0,0,0,1,0,0,,,,2.585,,
know,VP,6,4,4,1,Care_Coordination,0.585,0.25,2.0,1,1,0,1,1,0,0.585,0.585,,0.585,0.585,
has received,VP,2,1,12,2,General_information,2.585,1.0,0.0,0,0,0,1,0,0,,,,2.585,,
am,VP,5,3,2,1,Symptoms,2.0,0.6667,0.918296,1,0,0,0,0,2,1.0,,,,,2.0
on the lookout,PP,2,1,14,3,Care_Coordination,2.585,1.0,0.0,1,0,0,0,0,0,2.585,,,,,
the lookout,NP,2,1,11,2,Care_Coordination,2.585,1.0,0.0,1,0,0,0,0,0,2.585,,,,,
for the permission / patient approval document,PP,2,1,46,7,Care_Coordination,2.585,1.0,0.0,1,0,0,0,0,0,2.585,,,,,
the permission / patient approval document,NP,2,1,42,6,Care_Coordination,2.585,1.0,0.0,1,0,0,0,0,0,2.585,,,,,
is being sent,VP,1,1,13,3,Care_Coordination,2.585,1.0,0.0,1,0,0,0,0,0,2.585,,,,,
being,VP,2,2,5,1,Care_Coordination,1.585,0.5,1.0,1,0,1,0,0,0,1.585,,1.585,,,
This,NP,8,4,4,1,Symptoms,2.1699,0.75,0.811278,0,0,0,1,0,3,,,,0.585,,2.1699
My stomach,NP,4,2,10,2,Symptoms,2.585,1.0,0.0,0,0,0,0,0,2,,,,,,2.585
a mass,NP,4,2,6,2,Symptoms,2.585,1.0,0.0,0,0,0,0,0,2,,,,,,2.585
of hematoma,PP,4,2,11,2,Symptoms,2.585,1.0,0.0,0,0,0,0,0,2,,,,,,2.585
hematoma,NP,4,2,8,1,Symptoms,2.585,1.0,0.0,0,0,0,0,0,2,,,,,,2.585
as a result,PP,4,2,11,3,Symptoms,2.585,1.0,0.0,0,0,0,0,0,2,,,,,,2.585
a result,NP,6,3,8,2,Symptoms,2.0,0.6667,0.918296,0,1,0,0,0,2,,1.0,,,,2.0
of the self injecting,PP,3,2,21,4,Symptoms,2.585,1.0,0.0,0,0,0,0,0,2,,,,,,2.585
injecting,VP,4,2,9,1,Symptoms,2.585,1.0,0.0,0,0,0,0,0,2,,,,,,2.585
the self,NP,1,1,8,2,Symptoms,2.585,1.0,0.0,0,0,0,0,0,1,,,,,,2.585
combine,VP,2,1,7,1,General_information,2.585,1.0,0.0,0,0,0,1,0,0,,,,2.585,,
visits,NP,2,1,6,1,General_information,2.585,1.0,0.0,0,0,0,1,0,0,,,,2.585,,
with Costco adventures,PP,2,1,22,3,General_information,2.585,1.0,0.0,0,0,0,1,0,0,,,,2.585,,
Costco adventures,NP,2,1,17,2,General_information,2.585,1.0,0.0,0,0,0,1,0,0,,,,2.585,,
Here,ADVP,2,1,4,1,General_information,2.585,1.0,0.0,0,0,0,1,0,0,,,,2.585,,
the fax number,NP,2,1,14,3,General_information,2.585,1.0,0.0,0,0,0,1,0,0,,,,2.585,,
forgot,VP,3,2,6,1,General_information,2.585,1.0,0.0,0,0,0,2,0,0,,,,2.585,,
met,VP,2,1,3,1,General_information,2.585,1.0,0.0,0,0,0,1,0,0,,,,2.585,,
with surgeon,PP,1,1,12,2,General_information,2.585,1.0,0.0,0,0,0,1,0,0,,,,2.585,,
surgeon,NP,1,1,7,1,General_information,2.585,1.0,0.0,0,0,0,1,0,0,,,,2.585,,
rec'd,VP,3,2,5,1,Diagnostics,1.585,0.5,1.0,0,1,0,1,0,0,,1.585,,1.585,,
a notice MM/DD/YYYY,NP,2,1,19,3,General_information,2.585,1.0,0.0,0,0,0,1,0,0,,,,2.585,,
(MM/DD/YYYY,NP,1,1,11,1,General_information,2.585,1.0,0.0,0,0,0,1,0,0,,,,2.585,,
The other name,NP,2,1,14,3,Drugs,2.585,1.0,0.0,0,0,1,0,0,0,,,2.585,,,
for it,PP,4,2,6,2,Drugs,1.585,0.5,1.0,0,0,1,0,0,1,,,1.585,,,1.585
Lorazepam,NP,2,1,9,1,Drugs,2.585,1.0,0.0,0,0,1,0,0,0,,,2.585,,,
Result,VP,2,1,6,1,Diagnostics,2.585,1.0,0.0,0,1,0,0,0,0,,2.585,,,,
back,ADVP,7,4,4,1,Care_Coordination,1.585,0.5,1.0,2,2,0,0,0,0,1.585,1.585,,,,
yet,ADVP,7,4,3,1,Diagnostics,2.1699,0.75,0.811278,1,3,0,0,0,0,0.585,2.1699,,,,
Also,ADVP,7,5,4,1,Diagnostics,1.263,0.4,1.921928,0,2,1,1,0,1,,1.263,0.263,0.263,,0.263
call,VP,5,3,4,1,Scheduling_appt,2.0,0.6667,0.918296,0,1,0,0,2,0,,1.0,,,2.0,
down,ADVP,2,2,4,1,Diagnostics,1.585,0.5,1.0,0,1,0,1,0,0,,1.585,,1.585,,
didn notice,NP,1,1,11,2,General_information,2.585,1.0,0.0,0,0,0,1,0,0,,,,2.585,,
did cut,VP,1,1,7,2,General_information,2.585,1.0,0.0,0,0,0,1,0,0,,,,2.585,,
ago,ADVP,1,1,3,1,General_information,2.585,1.0,0.0,0,0,0,1,0,0,,,,2.585,,
didn,NP,1,1,4,1,General_information,2.585,1.0,0.0,0,0,0,1,0,0,,,,2.585,,
notice,VP,1,1,6,1,General_information,2.585,1.0,0.0,0,0,0,1,0,0,,,,2.585,,
any cut,NP,1,1,7,2,General_information,2.585,1.0,0.0,0,0,0,1,0,0,,,,2.585,,
will they remove,VP,2,1,16,3,General_information,2.585,1.0,0.0,0,0,0,1,0,0,,,,2.585,,
my port,NP,4,2,7,2,Care_Coordination,1.585,0.5,1.0,1,0,0,1,0,0,1.585,,,1.585,,
as,ADVP,14,7,2,1,Care_Coordination,1.7776,0.5714,0.985228,4,0,0,3,0,0,1.7776,,,1.3626,,
during my surgery,PP,1,1,17,3,General_information,2.585,1.0,0.0,0,0,0,1,0,0,,,,2.585,,
my surgery,NP,1,1,10,2,General_information,2.585,1.0,0.0,0,0,0,1,0,0,,,,2.585,,
At this point,PP,2,1,13,3,Scheduling_appt,2.585,1.0,0.0,0,0,0,0,1,0,,,,,2.585,
this point,NP,2,1,10,2,Scheduling_appt,2.585,1.0,0.0,0,0,0,0,1,0,,,,,2.585,
of time,PP,2,1,7,2,Scheduling_appt,2.585,1.0,0.0,0,0,0,0,1,0,,,,,2.585,
time,NP,4,2,4,1,Scheduling_appt,2.585,1.0,0.0,0,0,0,0,2,0,,,,,2.585,
can I please ask,VP,2,1,16,4,Scheduling_appt,2.585,1.0,0.0,0,0,0,0,1,0,,,,,2.585,
to set up,VP,2,1,9,3,Scheduling_appt,2.585,1.0,0.0,0,0,0,0,1,0,,,,,2.585,
with Dr  Person2,PP,2,1,16,3,Scheduling_appt,2.585,1.0,0.0,0,0,0,0,1,0,,,,,2.585,
want,VP,5,4,4,1,General_information,1.585,0.5,1.5,1,0,0,2,1,0,0.585,,,1.585,0.585,
would you like,VP,3,2,14,3,Scheduling_appt,2.585,1.0,0.0,0,0,0,0,2,0,,,,,2.585,
our Clinical Secretary,NP,5,3,22,3,Scheduling_appt,2.585,1.0,0.0,0,0,0,0,3,0,,,,,2.585,
Have,VP,2,1,4,1,Drugs,2.585,1.0,0.0,0,0,1,0,0,0,,,2.585,,,
one tablet,NP,4,2,10,2,Drugs,2.585,1.0,0.0,0,0,2,0,0,0,,,2.585,,,
to take,VP,3,2,7,2,Drugs,1.585,0.5,1.0,0,0,1,0,1,0,,,1.585,,1.585,
after that,PP,1,1,10,2,Drugs,2.585,1.0,0.0,0,0,1,0,0,0,,,2.585,,,
continue,VP,4,2,8,1,Drugs,1.585,0.5,1.0,0,0,1,1,0,0,,,1.585,1.585,,
to monitor,VP,2,1,10,2,General_information,2.585,1.0,0.0,0,0,0,1,0,0,,,,2.585,,
The situation,NP,2,1,13,2,General_information,2.585,1.0,0.0,0,0,0,1,0,0,,,,2.585,,
so,ADVP,6,4,2,1,Diagnostics,1.585,0.5,1.5,0,2,0,1,1,0,,1.585,,0.585,0.585,
can ask,VP,2,1,7,2,Scheduling_appt,2.585,1.0,0.0,0,0,0,0,1,0,,,,,2.585,
my Primary,NP,2,1,10,2,Scheduling_appt,2.585,1.0,0.0,0,0,0,0,1,0,,,,,2.585,
can get,VP,7,4,7,2,Drugs,1.585,0.5,1.0,0,0,2,0,2,0,,,1.585,,1.585,
vomit,VP,2,1,5,1,Symptoms,2.585,1.0,0.0,0,0,0,0,0,1,,,,,,2.585
at times,PP,4,2,8,2,Symptoms,2.585,1.0,0.0,0,0,0,0,0,2,,,,,,2.585
times,NP,4,2,5,1,Symptoms,2.585,1.0,0.0,0,0,0,0,0,2,,,,,,2.585
same day delivery,NP,2,1,17,3,General_information,2.585,1.0,0.0,0,0,0,1,0,0,,,,2.585,,
needed,VP,2,1,6,1,General_information,2.585,1.0,0.0,0,0,0,1,0,0,,,,2.585,,
can do,VP,2,2,6,2,Drugs,1.585,0.5,1.0,0,0,1,1,0,0,,,1.585,1.585,,
They,NP,4,2,4,1,Care_Coordination,1.585,0.5,1.0,1,0,0,0,0,1,1.585,,,,,1.585
may be,VP,2,1,6,2,Symptoms,2.585,1.0,0.0,0,0,0,0,0,1,,,,,,2.585
muscle spasms,NP,1,1,13,2,Symptoms,2.585,1.0,0.0,0,0,0,0,0,1,,,,,,2.585
recommends,VP,2,1,10,1,Drugs,2.585,1.0,0.0,0,0,1,0,0,0,,,2.585,,,
Metamucil,NP,2,1,9,1,Drugs,2.585,1.0,0.0,0,0,1,0,0,0,,,2.585,,,
Orders,NP,2,1,6,1,Diagnostics,2.585,1.0,0.0,0,1,0,0,0,0,,2.585,,,,
have been entered,VP,2,1,17,3,Diagnostics,2.585,1.0,0.0,0,1,0,0,0,0,,2.585,,,,
been,VP,4,2,4,1,Diagnostics,2.585,1.0,0.0,0,2,0,0,0,0,,2.585,,,,
into the Epic system,PP,2,1,20,4,Diagnostics,2.585,1.0,0.0,0,1,0,0,0,0,,2.585,,,,
the Epic system,NP,2,1,15,3,Diagnostics,2.585,1.0,0.0,0,1,0,0,0,0,,2.585,,,,
for lab work,PP,2,1,12,3,Diagnostics,2.585,1.0,0.0,0,1,0,0,0,0,,2.585,,,,
lab work,NP,2,1,8,2,Diagnostics,2.585,1.0,0.0,0,1,0,0,0,0,,2.585,,,,
do I begin,VP,2,1,10,3,Drugs,2.585,1.0,0.0,0,0,1,0,0,0,,,2.585,,,
again,ADVP,4,2,5,1,Care_Coordination,1.585,0.5,1.0,1,0,1,0,0,0,1.585,,1.585,,,
elevated,VP,5,3,8,1,Diagnostics,2.0,0.6667,0.918296,0,2,1,0,0,0,,2.0,1.0,,,
Have you tried,VP,2,1,14,3,Symptoms,2.585,1.0,0.0,0,0,0,0,0,1,,,,,,2.585
Have you been doing,VP,2,1,19,4,General_information,2.585,1.0,0.0,0,0,0,1,0,0,,,,2.585,,
the nail soaks,NP,2,1,14,3,General_information,2.585,1.0,0.0,0,0,0,1,0,0,,,,2.585,,
then,ADVP,3,2,4,1,Care_Coordination,2.585,1.0,0.0,2,0,0,0,0,0,2.585,,,,,
will decide,VP,2,1,11,2,Care_Coordination,2.585,1.0,0.0,1,0,0,0,0,0,2.585,,,,,
will be,VP,5,3,7,2,Scheduling_appt,2.0,0.6667,0.918296,1,0,0,0,2,0,1.0,,,,2.0,
a throwup bug,NP,2,1,13,3,Symptoms,2.585,1.0,0.0,0,0,0,0,0,1,,,,,,2.585
through my family,PP,2,1,17,3,Symptoms,2.585,1.0,0.0,0,0,0,0,0,1,,,,,,2.585
my family,NP,2,1,9,2,Symptoms,2.585,1.0,0.0,0,0,0,0,0,1,,,,,,2.585
works,VP,4,2,5,1,Drugs,1.585,0.5,1.0,0,0,1,0,1,0,,,1.585,,1.585,
than the Oxycodone,PP,2,1,18,3,Drugs,2.585,1.0,0.0,0,0,1,0,0,0,,,2.585,,,
the Oxycodone,NP,2,1,13,2,Drugs,2.585,1.0,0.0,0,0,1,0,0,0,,,2.585,,,
does not remove,VP,2,1,15,3,General_information,2.585,1.0,0.0,0,0,0,1,0,0,,,,2.585,,
ports,NP,3,2,5,1,Care_Coordination,1.585,0.5,1.0,1,0,0,1,0,0,1.585,,,1.585,,
the vaccine,NP,1,1,11,2,Drugs,2.585,1.0,0.0,0,0,1,0,0,0,,,2.585,,,
The coughing,NP,2,1,12,2,Symptoms,2.585,1.0,0.0,0,0,0,0,0,1,,,,,,2.585
is subsiding,VP,2,1,12,2,Symptoms,2.585,1.0,0.0,0,0,0,0,0,1,,,,,,2.585
an appt,NP,7,4,7,2,Scheduling_appt,2.1699,0.75,0.811278,1,0,0,0,3,0,0.585,,,,2.1699,
in radiation,PP,2,1,12,2,Scheduling_appt,2.585,1.0,0.0,0,0,0,0,1,0,,,,,2.585,
radiation,NP,4,2,9,1,Scheduling_appt,1.585,0.5,1.0,0,0,0,0,1,1,,,,,1.585,1.585
wait,VP,2,1,4,1,Scheduling_appt,2.585,1.0,0.0,0,0,0,0,1,0,,,,,2.585,
after that appt,PP,2,1,15,3,Scheduling_appt,2.585,1.0,0.0,0,0,0,0,1,0,,,,,2.585,
that appt,NP,2,1,9,2,Scheduling_appt,2.585,1.0,0.0,0,0,0,0,1,0,,,,,2.585,
to  make,VP,2,1,8,2,Scheduling_appt,2.585,1.0,0.0,0,0,0,0,1,0,,,,,2.585,
Their number,NP,4,2,12,2,General_information,2.585,1.0,0.0,0,0,0,2,0,0,,,,2.585,,
XXX-XXX-XXXX,NP,7,4,12,1,General_information,1.585,0.5,1.0,0,0,0,2,2,0,,,,1.585,1.585,
will put,VP,2,1,8,2,Care_Coordination,2.585,1.0,0.0,1,0,0,0,0,0,2.585,,,,,
an occuloplastic surgeon,NP,1,1,24,3,Care_Coordination,2.585,1.0,0.0,1,0,0,0,0,0,2.585,,,,,
can give,VP,2,1,8,2,Scheduling_appt,2.585,1.0,0.0,0,0,0,0,1,0,,,,,2.585,
a flu vaccine,NP,2,1,13,3,Scheduling_appt,2.585,1.0,0.0,0,0,0,0,1,0,,,,,2.585,
concerning,VP,2,1,10,1,Care_Coordination,2.585,1.0,0.0,1,0,0,0,0,0,2.585,,,,,
concerning the removal,PP,2,1,22,3,Care_Coordination,2.585,1.0,0.0,1,0,0,0,0,0,2.585,,,,,
the removal,NP,2,1,11,2,Care_Coordination,2.585,1.0,0.0,1,0,0,0,0,0,2.585,,,,,
of my port,PP,2,1,10,3,Care_Coordination,2.585,1.0,0.0,1,0,0,0,0,0,2.585,,,,,
his nurse,NP,2,1,9,2,Care_Coordination,2.585,1.0,0.0,1,0,0,0,0,0,2.585,,,,,
reached out,VP,1,1,11,2,Care_Coordination,2.585,1.0,0.0,1,0,0,0,0,0,2.585,,,,,
to dr,VP,1,1,5,2,Care_Coordination,2.585,1.0,0.0,1,0,0,0,0,0,2.585,,,,,
my chart,NP,1,1,8,2,Care_Coordination,2.585,1.0,0.0,1,0,0,0,0,0,2.585,,,,,
stating,VP,1,1,7,1,Care_Coordination,2.585,1.0,0.0,1,0,0,0,0,0,2.585,,,,,
doesn,VP,1,1,5,1,Care_Coordination,2.585,1.0,0.0,1,0,0,0,0,0,2.585,,,,,
remove,VP,1,1,6,1,Care_Coordination,2.585,1.0,0.0,1,0,0,0,0,0,2.585,,,,,
'll check in,VP,2,1,12,3,Care_Coordination,2.585,1.0,0.0,1,0,0,0,0,0,2.585,,,,,
getting,VP,8,4,7,1,Diagnostics,1.585,0.5,1.5,1,2,0,1,0,0,0.585,1.585,,0.585,,
removed,VP,2,1,7,1,Care_Coordination,2.585,1.0,0.0,1,0,0,0,0,0,2.585,,,,,
may become,VP,2,1,10,2,Symptoms,2.585,1.0,0.0,0,0,0,0,0,1,,,,,,2.585
has started,VP,2,1,11,2,Symptoms,2.585,1.0,0.0,0,0,0,0,0,1,,,,,,2.585
Appetite,NP,1,1,8,1,Symptoms,2.585,1.0,0.0,0,0,0,0,0,1,,,,,,2.585
a bit,NP,1,1,5,2,Symptoms,2.585,1.0,0.0,0,0,0,0,0,1,,,,,,2.585
of a struggle,PP,1,1,13,3,Symptoms,2.585,1.0,0.0,0,0,0,0,0,1,,,,,,2.585
a struggle,NP,1,1,10,2,Symptoms,2.585,1.0,0.0,0,0,0,0,0,1,,,,,,2.585
expected,VP,1,1,8,1,Symptoms,2.585,1.0,0.0,0,0,0,0,0,1,,,,,,2.585
him,NP,7,5,3,1,Care_Coordination,2.263,0.8,0.721928,4,0,0,0,1,0,2.263,,,,0.263,
"down the ""combo",PP,2,1,15,3,Scheduling_appt,2.585,1.0,0.0,0,0,0,0,1,0,,,,,2.585,
at 530,PP,1,1,6,2,Scheduling_appt,2.585,1.0,0.0,0,0,0,0,1,0,,,,,2.585,
"the ""combo",NP,1,1,10,2,Scheduling_appt,2.585,1.0,0.0,0,0,0,0,1,0,,,,,2.585,
my MZL doctor,NP,2,1,13,3,Scheduling_appt,2.585,1.0,0.0,0,0,0,0,1,0,,,,,2.585,
in LOCATION,PP,3,2,11,2,General_information,1.585,0.5,1.0,0,0,0,1,1,0,,,,1.585,1.585,
LOCATION,NP,5,3,8,1,General_information,2.0,0.6667,0.918296,0,0,0,2,1,0,,,,2.0,1.0,
am seeing,VP,2,2,9,2,Care_Coordination,1.585,0.5,1.0,1,0,0,0,1,0,1.585,,,,1.585,
Dr. Person1,NP,11,6,11,2,Care_Coordination,1.585,0.5,1.792481,3,0,1,1,1,0,1.585,,0.0,0.0,0.0,
in the office MM/DD/YYYY,PP,2,1,24,4,Scheduling_appt,2.585,1.0,0.0,0,0,0,0,1,0,,,,,2.585,
