phrase_text,phrase_type,label,doc_cofreq,pmi
both tumor markers,NP,Diagnostics,2,2.585
had ordered,VP,Diagnostics,2,2.585
he,NP,General_information,3,0.848
wants,VP,General_information,1,2.585
in a emails,PP,General_information,1,2.585
she,NP,General_information,2,1.263
a emails,NP,General_information,1,2.585
The good doctor,NP,General_information,1,2.585
to make,VP,General_information,1,2.585
swamped,VP,General_information,1,2.585
sees,VP,General_information,1,2.585
because of the taxol,PP,Drugs,1,2.585
the taxol,NP,Drugs,1,2.585
our office,NP,Scheduling_appt,1,2.585
at XXX-XXX-XXXX,PP,Scheduling_appt,2,2.585
XXX-XXX-XXXX,NP,Scheduling_appt,2,1.585
these appts,NP,Scheduling_appt,1,2.585
discussed,VP,Diagnostics,2,2.0
our last appointment,NP,Diagnostics,2,2.585
At our last appointment,PP,Diagnostics,2,2.585
we,NP,Diagnostics,3,0.4695
the cancer antigen test,NP,Diagnostics,2,2.585
at my next blood work,PP,Diagnostics,2,2.585
getting,VP,Diagnostics,2,1.585
my next blood work,NP,Diagnostics,2,2.585
to compare,VP,General_information,1,2.585
have,VP,General_information,1,-1.1155
a check,NP,Scheduling_appt,1,2.585
do I have,VP,Scheduling_appt,1,2.585
to come in,VP,Scheduling_appt,1,2.585
for a check,PP,Scheduling_appt,1,2.585
next,ADVP,Scheduling_appt,1,2.585
as,ADVP,Care_Coordination,4,1.7776
can review,VP,Care_Coordination,1,2.585
Dr Person2,NP,Care_Coordination,3,1.585
well,ADVP,Care_Coordination,4,1.585
later,ADVP,Scheduling_appt,1,2.585
the next one,NP,Scheduling_appt,1,2.585
should have been,VP,Scheduling_appt,1,2.585
around MM/DD/YYYY,PP,Scheduling_appt,1,2.585
a look,NP,Care_Coordination,1,2.585
take,VP,Care_Coordination,1,1.0
Dr Person1,NP,Care_Coordination,1,1.585
let,VP,Care_Coordination,2,1.585
advise,VP,General_information,2,2.585
to G Hosp,PP,General_information,1,2.585
this,NP,General_information,2,-0.2224
to submit,VP,General_information,1,2.585
G Hosp,NP,General_information,1,2.585
the flexeril,NP,Drugs,1,2.585
Did the flexeril not help,VP,Drugs,1,2.585
with pain,PP,Symptoms,1,2.585
is having,VP,Symptoms,1,2.585
with pain MM/DD/YYYY,PP,Symptoms,1,2.585
a tough day,NP,Symptoms,1,2.585
pain,NP,Symptoms,2,2.0
pain MM/DD/YYYY,NP,Symptoms,1,2.585
taken,VP,Drugs,1,2.585
as one tablet,PP,Drugs,1,2.585
on MM/DD/YYYY,PP,Drugs,2,-0.663
the Ibrance,NP,Drugs,1,2.585
we,NP,Drugs,1,-1.1155
Also,ADVP,Drugs,1,0.263
can hold off,VP,Drugs,1,2.585
starting,VP,Drugs,2,2.585
Dr. Person1,NP,Drugs,1,0.0
for the pain,PP,Drugs,1,2.585
the pain,NP,Drugs,1,2.585
was wondering,VP,Drugs,2,1.263
for me,PP,Drugs,2,1.585
could refill,VP,Drugs,1,2.585
this RX,NP,Drugs,3,2.585
soon,ADVP,Care_Coordination,1,1.585
signed,VP,Care_Coordination,1,2.585
Person2,NP,Care_Coordination,1,0.263
to send,VP,Care_Coordination,2,2.585
have asked,VP,Care_Coordination,1,1.585
this,NP,Diagnostics,2,-0.2224
was,VP,Diagnostics,4,0.415
was trending,VP,Diagnostics,1,2.585
was trending down,VP,Diagnostics,1,2.585
to see,VP,Diagnostics,3,0.848
which,NP,Symptoms,2,2.585
can be,VP,Symptoms,2,2.0
pretty,ADVP,Symptoms,2,2.0
have been,VP,Diagnostics,1,1.585
order,NP,Diagnostics,1,2.585
Labs,NP,Diagnostics,1,2.585
this,NP,Care_Coordination,1,-1.2224
Org1,NP,Care_Coordination,1,2.585
Lymphoma Department,NP,Care_Coordination,1,2.585
the attention,NP,Care_Coordination,1,2.585
of Dr. Person3,PP,Care_Coordination,1,2.585
Dr. Person3,NP,Care_Coordination,4,2.263
They,NP,Care_Coordination,1,1.585
at Org1,PP,Care_Coordination,1,2.585
for the attention,PP,Care_Coordination,1,2.585
before MM/DD/YYYY,PP,Scheduling_appt,1,2.585
Can I go,VP,Scheduling_appt,1,2.585
messaged,VP,Drugs,1,2.585
pharmacy,NP,Drugs,1,2.585
to release,VP,Drugs,1,2.585
here,ADVP,Care_Coordination,1,2.585
his thoughts,NP,Care_Coordination,1,2.585
to review,VP,Care_Coordination,2,2.585
rescheduled,VP,Scheduling_appt,1,2.585
can see,VP,Scheduling_appt,2,2.585
m preparing,VP,General_information,1,2.585
surgery,NP,General_information,1,2.585
for surgery,PP,General_information,1,2.585
on MM/DD/YYYY,PP,General_information,1,-1.663
to me,PP,Care_Coordination,1,2.585
just,ADVP,Care_Coordination,3,0.0825
got,VP,Care_Coordination,1,0.585
advised,VP,Care_Coordination,1,1.585
long,ADVP,Symptoms,1,2.585
has this been going on,VP,Symptoms,1,2.585
can you tell,VP,Diagnostics,1,2.585
my results,NP,Diagnostics,1,2.585
about my results,PP,Diagnostics,1,2.585
My youngest son,NP,General_information,1,2.585
has,VP,General_information,2,2.0
MS,NP,General_information,1,2.585
the imaging,NP,Scheduling_appt,1,2.585
were,VP,Scheduling_appt,2,2.0
to move up,VP,Scheduling_appt,1,2.585
We,NP,Scheduling_appt,2,1.585
let,VP,Scheduling_appt,1,0.585
to the CA27.29,PP,Diagnostics,2,2.585
just another marker,NP,Diagnostics,2,2.585
this situation,NP,Diagnostics,2,2.585
(just another marker,NP,Diagnostics,2,2.585
just,ADVP,Diagnostics,4,0.4975
in this situation,PP,Diagnostics,2,2.585
adding,VP,Diagnostics,2,2.585
be,VP,Drugs,1,0.585
will be sent over,VP,Drugs,1,2.585
Script,NP,Drugs,1,2.585
to the pharmacy,PP,Drugs,1,2.585
the pharmacy,NP,Drugs,1,2.585
normal clear yellow,NP,General_information,1,2.585
so,ADVP,General_information,1,0.585
cause,VP,General_information,1,2.585
clear,ADVP,General_information,1,2.585
in the urine,PP,General_information,1,2.585
beet juice,NP,General_information,1,2.585
drinking,VP,General_information,1,2.585
the false blood,NP,General_information,1,2.585
the urine,NP,General_information,1,2.585
set up,VP,Scheduling_appt,1,2.585
just,ADVP,Scheduling_appt,4,0.4975
a  fax/phone number/person,NP,General_information,1,2.585
to you,PP,General_information,1,1.585
want,VP,General_information,2,1.585
Is,VP,General_information,1,0.263
Thanks  Person2,NP,General_information,1,2.585
my SABR treatment,NP,Scheduling_appt,1,2.585
to my SABR treatment,PP,Scheduling_appt,1,2.585
Could you please tell,VP,Scheduling_appt,1,2.585
the lymph node biopsy procedure,NP,Scheduling_appt,1,2.585
who,NP,Scheduling_appt,1,2.585
should be following up,VP,Scheduling_appt,1,2.585
prior,ADVP,Scheduling_appt,1,2.585
up,ADVP,Scheduling_appt,1,2.585
because of the prednisone,PP,Drugs,1,2.585
the prednisone,NP,Drugs,1,2.585
elevated,VP,Drugs,1,1.0
your fax number,NP,General_information,1,2.585
Could you please confirm,VP,General_information,1,2.585
tolerate,VP,Drugs,1,2.585
Most people,NP,Drugs,1,2.585
per week,PP,Drugs,1,2.585
week,NP,Drugs,1,2.585
for 230,PP,Scheduling_appt,1,2.585
still,ADVP,Scheduling_appt,1,-0.415
by your office,PP,General_information,1,2.585
your office,NP,General_information,1,1.585
afterward,ADVP,General_information,1,2.585
will stop,VP,General_information,1,2.585
completely,ADVP,Symptoms,1,2.585
the surgery,NP,Symptoms,1,2.585
have not completely recovered,VP,Symptoms,1,2.585
of MM/DD/YYYY,PP,Symptoms,1,1.585
from the surgery,PP,Symptoms,1,2.585
was just looking,VP,Scheduling_appt,1,2.585
realized,VP,Scheduling_appt,1,2.585
at my calendar,PP,Scheduling_appt,1,2.585
my next appt,NP,Scheduling_appt,1,2.585
my calendar,NP,Scheduling_appt,1,2.585
a refill,NP,Drugs,2,2.585
need,VP,Drugs,1,1.0
for the above,PP,Drugs,1,2.585
will ask,VP,Scheduling_appt,2,2.585
will call,VP,Scheduling_appt,2,2.0
she,NP,Scheduling_appt,2,1.263
will,VP,General_information,1,2.585
the answers,NP,General_information,1,2.585
need,VP,General_information,1,1.0
will be,VP,Scheduling_appt,2,2.0
my appointment,NP,Scheduling_appt,1,2.585
for my appointment,PP,Scheduling_appt,1,2.585
for MM/DD/YYYY,PP,Scheduling_appt,3,2.585
w Dr. B,PP,Scheduling_appt,1,1.585
Dr. B,NP,Scheduling_appt,1,0.585
Yep,NP,Scheduling_appt,1,2.585
a call,NP,Scheduling_appt,1,2.585
got,VP,Scheduling_appt,1,0.585
at 130,PP,Scheduling_appt,1,2.585
in you,PP,Scheduling_appt,1,2.585
do not see,VP,Drugs,1,1.585
on your med list,PP,Drugs,1,2.585
your med list,NP,Drugs,1,2.585
your port,NP,Care_Coordination,1,2.585
having,VP,Care_Coordination,1,2.585
get your port out,VP,Care_Coordination,1,2.585
with my breathing/lungs,PP,Symptoms,1,2.585
something,NP,Symptoms,1,2.585
going on,VP,Symptoms,1,2.585
my breathing/lungs,NP,Symptoms,1,2.585
had noticed,VP,Symptoms,1,2.585
about blood work,PP,Diagnostics,1,2.585
know,VP,Diagnostics,1,0.585
blood work,NP,Diagnostics,2,2.585
let,VP,Diagnostics,1,0.585
usually,ADVP,Scheduling_appt,1,2.585
takes,VP,Scheduling_appt,1,0.585
an appointment,NP,Scheduling_appt,1,2.585
This test,NP,Scheduling_appt,1,2.585
in my vein,PP,Care_Coordination,2,2.585
my vein,NP,Care_Coordination,2,2.585
a partial blood clot,NP,Care_Coordination,2,2.585
with the vascular cardiologist,PP,Care_Coordination,2,2.585
speaking,VP,Care_Coordination,4,2.585
the vascular cardiologist,NP,Care_Coordination,2,2.585
question mark,NP,Care_Coordination,2,2.585
really,ADVP,Care_Coordination,2,1.263
as need,PP,Drugs,1,2.585
two requests,NP,Drugs,1,2.585
continuing basis,NP,Drugs,1,2.585
for Eliquis refill,PP,Drugs,1,2.585
trip,NP,Drugs,1,2.585
on continuing basis,PP,Drugs,1,2.585
continuing,VP,Drugs,1,2.585
note,VP,Drugs,1,2.585
need,NP,Drugs,1,2.585
before trip,PP,Drugs,1,2.585
Eliquis refill,NP,Drugs,1,2.585
3  months,NP,Scheduling_appt,1,2.585
Do you have,VP,Care_Coordination,1,2.585
for Dr Person2,PP,Care_Coordination,1,2.585
to him,PP,Care_Coordination,1,2.585
the report,NP,Care_Coordination,1,2.585
a fax number,NP,Care_Coordination,1,2.585
can fax the report over,VP,Care_Coordination,1,2.585
can fax,VP,Care_Coordination,1,2.585
about 4 days,NP,Symptoms,1,2.585
for about 4 days,PP,Symptoms,1,2.585
about,ADVP,Symptoms,1,1.585
has been going on,VP,Symptoms,1,2.585
yet,ADVP,Care_Coordination,1,0.585
a response,NP,Care_Coordination,1,2.585
the message,NP,Care_Coordination,1,1.585
have not gotten,VP,Care_Coordination,1,2.585
have,VP,Symptoms,3,0.4695
super,ADVP,Symptoms,1,2.585
super bad heartburn,NP,Symptoms,1,2.585
'll get,VP,Scheduling_appt,1,2.585
with IR,PP,Scheduling_appt,1,2.585
IR,NP,Scheduling_appt,1,2.585
to take it out,VP,Scheduling_appt,1,2.585
them,NP,Scheduling_appt,2,0.585
to take,VP,Scheduling_appt,1,1.585
concurs,VP,Care_Coordination,1,2.585
restarting,VP,Care_Coordination,1,2.585
Lupron,NP,Care_Coordination,1,2.585
with you,PP,Care_Coordination,1,1.585
can put,VP,Care_Coordination,1,2.585
a PT eval,NP,Care_Coordination,1,2.585
with a lymphedema therapist,PP,Care_Coordination,1,2.585
for a PT eval,PP,Care_Coordination,1,2.585
a lymphedema therapist,NP,Care_Coordination,1,2.585
to fax,VP,Care_Coordination,2,2.585
from work,PP,Care_Coordination,2,2.585
to Person1,PP,Care_Coordination,2,2.585
work,NP,Care_Coordination,2,2.0
the paperwork,NP,Care_Coordination,3,2.585
on MM/DD/YYYY,PP,Care_Coordination,5,0.659
to add,VP,Drugs,1,2.585
for Lidocaine / Prilocaine cream,PP,Drugs,1,2.585
a new script,NP,Drugs,1,2.585
one more Rx request,NP,Drugs,1,2.585
Lidocaine / Prilocaine cream,NP,Drugs,1,2.585
would like,VP,Drugs,1,1.0
my upper arm,NP,Symptoms,2,2.585
in my upper arm,PP,Symptoms,1,2.585
a little tingling,NP,Symptoms,1,2.585
feel,VP,Symptoms,2,2.585
What date,NP,Scheduling_appt,1,2.585
happens,VP,Symptoms,2,2.0
has tapered down,VP,Symptoms,2,2.585
The neuropathy,NP,Symptoms,2,2.585
has tapered,VP,Symptoms,1,2.585
even,ADVP,Symptoms,2,2.585
even tho,NP,Symptoms,2,2.585
Dr. Person1,NP,Care_Coordination,3,1.585
the prescription,NP,Care_Coordination,1,2.585
to sign,VP,Care_Coordination,1,2.585
for oxycodone,PP,Care_Coordination,1,2.585
oxycodone,NP,Care_Coordination,1,2.585
one 5mg pm,NP,Drugs,1,2.585
one 5mg am,NP,Drugs,1,2.585
supposed,VP,Drugs,1,2.585
'm,VP,Drugs,1,2.585
That,NP,Drugs,1,1.585
my next round,NP,Drugs,1,2.585
to start,VP,Drugs,1,2.585
The ED doctor,NP,Care_Coordination,1,2.585
called,VP,Care_Coordination,1,1.585
am seeing,VP,Care_Coordination,1,1.585
again,ADVP,Care_Coordination,1,1.585
CBC,NP,Diagnostics,1,2.585
resulted,VP,Diagnostics,4,2.585
have,VP,Diagnostics,4,0.8845
WITH AUTO DIFFERENTIAL,PP,Diagnostics,1,2.585
a question,NP,Diagnostics,4,2.585
about CBC,PP,Diagnostics,1,2.585
AUTO DIFFERENTIAL,NP,Diagnostics,1,2.585
at MM/DD/YYYY,PP,Diagnostics,3,1.848
on MM/DD/YYYY,PP,Diagnostics,3,-0.078
down even tho,PP,Symptoms,1,2.585
this pain,NP,Symptoms,1,2.585
on my right side,PP,Symptoms,1,2.585
my right side,NP,Symptoms,2,2.585
of this pain,PP,Symptoms,1,2.585
told,VP,Symptoms,1,1.0
them,NP,Symptoms,1,-0.415
directions,NP,Drugs,1,2.585
all meds,NP,Drugs,1,2.585
Person3,NP,Drugs,2,2.0
following,VP,Drugs,1,1.585
is tolerating,VP,Drugs,1,2.585
well,ADVP,Drugs,1,-0.415
made,VP,General_information,1,2.585
on the blood draw,PP,General_information,1,2.585
the blood draw,NP,General_information,1,2.585
That,NP,General_information,1,1.585
asked,VP,General_information,1,1.0
am feeling,VP,Symptoms,1,2.585
much,ADVP,Symptoms,1,2.585
goes,VP,Care_Coordination,1,2.585
to you,PP,Care_Coordination,1,1.585
the place,NP,Care_Coordination,1,2.585
want,VP,Care_Coordination,1,0.585
the mane,NP,Care_Coordination,1,2.585
of the place,PP,Care_Coordination,1,2.585
don't seen,VP,Diagnostics,1,2.585
for my PSA,PP,Diagnostics,1,2.585
in Person2,PP,General_information,1,2.585
takes,VP,General_information,1,0.585
Person2,NP,General_information,1,0.263
longer,ADVP,General_information,1,1.585
to show up,VP,General_information,1,2.585
my blood work,NP,Diagnostics,2,2.585
am still not understanding,VP,Diagnostics,2,2.585
of my blood work,PP,Diagnostics,2,2.585
the timing,NP,Diagnostics,2,2.585
still,ADVP,Diagnostics,3,1.1699
to reschedule,VP,Scheduling_appt,2,2.585
Do we need,VP,Scheduling_appt,1,2.585
rec'd,VP,Diagnostics,1,1.585
from blood testing lab,PP,Diagnostics,1,2.585
have not rec'd,VP,Diagnostics,1,2.585
email message,NP,Diagnostics,1,2.585
blood testing lab,NP,Diagnostics,1,2.585
my bloodwork,NP,Diagnostics,2,2.585
Just,ADVP,Diagnostics,2,2.585
my WBC,NP,Diagnostics,2,2.0
looks,VP,Diagnostics,2,2.585
checking,VP,Diagnostics,2,2.0
for my WBC,PP,Diagnostics,2,2.585
under my right breast,PP,Symptoms,1,2.585
my right breast,NP,Symptoms,1,2.585
to my right side,PP,Symptoms,1,2.585
located,VP,Symptoms,1,2.585
right,ADVP,Symptoms,2,2.585
using,VP,Symptoms,1,2.585
rethink,VP,Symptoms,1,2.585
the leg massage machine,NP,Symptoms,1,2.585
Another unproductive week,NP,Symptoms,1,2.585
has,VP,Symptoms,1,1.0
me,NP,Symptoms,3,-0.415
Eliquis,NP,Drugs,1,2.585
could please clarify,VP,General_information,1,2.585
your question,NP,General_information,1,2.585
can better respond,VP,General_information,1,2.585
better,ADVP,General_information,1,2.585
your  message,NP,General_information,1,2.585
to your question,PP,General_information,1,2.585
've set up,VP,Scheduling_appt,1,2.585
Person3's other am,NP,Scheduling_appt,1,2.585
can be,VP,Drugs,1,1.0
of the Taxol,PP,Drugs,1,2.585
a common side effect,NP,Drugs,1,2.585
the Taxol,NP,Drugs,1,2.585
spoke,VP,Drugs,1,2.585
w Dr. B,PP,Drugs,1,1.585
about 2 Rxs,NP,Drugs,1,2.585
been pending,VP,Drugs,1,2.585
Next one,NP,Scheduling_appt,1,2.585
emailed,VP,General_information,1,2.585
discussed,VP,Care_Coordination,1,1.0
noted,VP,Care_Coordination,1,2.585
to patients,PP,Drugs,1,2.585
patients,NP,Drugs,1,2.585
The pharmacy,NP,Drugs,1,2.585
meds,NP,Drugs,1,2.585
to get meds out,VP,Drugs,1,2.585
pretty,ADVP,Drugs,1,1.0
can do,VP,Drugs,1,1.585
Oxycodone HCL,NP,Drugs,1,2.585
Oxycodone,NP,Drugs,1,2.585
has been taking,VP,Drugs,1,2.585
anything,NP,General_information,1,1.0
have not heard,VP,General_information,1,2.585
PSA,NP,Diagnostics,4,2.585
coming down,VP,Diagnostics,1,2.585
down,ADVP,Diagnostics,1,1.585
coming,VP,Diagnostics,1,1.585
for Thurs,PP,Scheduling_appt,1,2.585
That appt,NP,Scheduling_appt,1,2.585
Thurs,NP,Scheduling_appt,1,2.585
sched,VP,Scheduling_appt,1,2.585
a request,NP,Drugs,1,2.585
has come,VP,Drugs,1,2.585
previously,ADVP,Drugs,1,2.585
Sent,VP,Drugs,1,2.585
has come through,VP,Drugs,1,2.585
TOTAL (POST DIAGNOSIS,NP,Diagnostics,3,2.585
about PSA,PP,Diagnostics,3,2.585
(BH GH LMW YH,NP,Diagnostics,3,2.585
schedule,NP,Scheduling_appt,1,2.585
our secretary,NP,Scheduling_appt,1,2.585
to schedule,PP,Scheduling_appt,1,2.585
only,ADVP,Drugs,1,1.585
a few pills,NP,Drugs,1,2.585
left,VP,Drugs,1,1.585
PSA test,NP,Diagnostics,1,2.585
believe,VP,Scheduling_appt,1,2.585
should be,VP,Scheduling_appt,1,2.585
last,ADVP,Care_Coordination,1,2.585
follow,VP,Care_Coordination,1,2.585
a PET,NP,Care_Coordination,1,2.585
she,NP,Care_Coordination,1,0.263
3 months,NP,Care_Coordination,1,2.585
saw,VP,Care_Coordination,1,1.585
recommended,VP,Care_Coordination,1,2.585
after,ADVP,Care_Coordination,1,2.585
in 3 months,PP,Care_Coordination,1,2.585
message,NP,Care_Coordination,1,2.585
SEnding,VP,Care_Coordination,1,2.585
at the limit,PP,General_information,1,2.585
are,VP,General_information,1,-0.415
stuck,VP,General_information,1,2.585
the limit,NP,General_information,1,2.585
getting,VP,General_information,1,0.585
We,NP,General_information,1,0.585
differential,NP,Diagnostics,1,2.585
without differential,PP,Diagnostics,1,2.585
did,VP,Diagnostics,1,2.585
just the CBC,NP,Diagnostics,1,2.585
told,VP,Diagnostics,1,1.0
remains,VP,Symptoms,1,2.585
my glucose,NP,Symptoms,1,2.585
guess,VP,Symptoms,1,2.585
sleep,VP,General_information,1,2.585
raised up,VP,General_information,1,2.585
her,NP,General_information,1,0.585
will call,VP,General_information,1,1.0
to confirm,VP,General_information,1,2.585
hasn,NP,General_information,1,2.585
received,VP,General_information,1,1.585
messages,NP,General_information,1,2.585
left,VP,General_information,1,1.585
have emailed,VP,General_information,1,2.585
The test,NP,Diagnostics,1,2.585
a Dexa Bone Density Test,NP,Diagnostics,1,2.585
arrival,NP,Scheduling_appt,1,2.585
on MM/DD/YYYY 9:20 AM,PP,Scheduling_appt,1,2.585
of arrival,PP,Scheduling_appt,1,2.585
my new time,NP,Scheduling_appt,1,2.585
MM/DD/YYYY 9:20 AM,NP,Scheduling_appt,1,2.585
Is,VP,Scheduling_appt,1,0.263
Started,VP,General_information,1,2.585
three MM/DD/YYYY,NP,General_information,1,2.585
Started week,NP,General_information,1,2.585
the 2 newly spot nodal issues,NP,Symptoms,1,2.585
in the 2 newly spot nodal issues,PP,Symptoms,1,2.585
newly,ADVP,Symptoms,1,2.585
to assess,VP,Symptoms,1,2.585
evolution,NP,Symptoms,1,2.585
to the surgery team,PP,Care_Coordination,1,2.585
the surgery team,NP,Care_Coordination,1,2.585
'll pass,VP,Care_Coordination,1,2.585
will run out,VP,Drugs,2,2.585
by tmrrw,PP,Drugs,1,2.585
current Rx,NP,Drugs,2,2.585
tmrrw,NP,Drugs,1,2.585
continue,VP,Drugs,1,1.585
my daily regimen,NP,Drugs,1,2.585
abiraterone,NP,Drugs,1,2.585
prednisone,NP,Drugs,1,2.585
on my daily regimen,PP,Drugs,1,2.585
of abiraterone,PP,Drugs,1,2.585
acetate,NP,Drugs,1,2.585
Dr. Person1,NP,General_information,1,0.0
with Dr. Person1,PP,General_information,1,1.585
be,VP,General_information,1,0.585
touch,NP,General_information,1,2.585
coming,VP,General_information,1,1.585
in touch,PP,General_information,1,2.585
happen,VP,Drugs,1,2.585
chemo,NP,Drugs,1,2.585
finished,VP,Drugs,1,2.585
finished chemo,VP,Drugs,1,2.585
for five sessions,PP,Scheduling_appt,1,2.585
five sessions,NP,Scheduling_appt,1,2.585
now,ADVP,Scheduling_appt,1,-0.585
to begin,VP,Scheduling_appt,1,2.585
radiation therapy,NP,Scheduling_appt,1,1.585
a CT scan IV Contrast,NP,Scheduling_appt,1,2.585
for First week,PP,Scheduling_appt,1,2.585
First week,NP,Scheduling_appt,1,2.585
need,VP,Scheduling_appt,1,1.0
also,ADVP,Scheduling_appt,1,-0.8745
in MM/DD/YYYY,PP,Scheduling_appt,1,1.0
will reschedule,VP,Scheduling_appt,2,2.585
appointment,NP,Scheduling_appt,1,2.585
probably,ADVP,Symptoms,1,2.585
the skin,NP,Symptoms,1,2.585
In addition,PP,Symptoms,1,2.585
to the bruising,PP,Symptoms,1,2.585
under the skin,PP,Symptoms,1,2.585
the bruising,NP,Symptoms,1,2.585
20+ hematoma,NP,Symptoms,1,2.585
addition,NP,Symptoms,1,2.585
Sun,NP,Drugs,1,2.585
mg,NP,Drugs,1,2.585
the phisiical form,NP,General_information,1,2.585
fill,VP,General_information,1,2.585
to know,VP,General_information,1,2.585
Dr Person2,NP,General_information,1,0.0
just,ADVP,General_information,3,0.0825
drop,VP,General_information,1,2.585
took a nasty slip down,VP,General_information,1,2.585
five steps,NP,General_information,1,2.585
five steps MM/DD/YYYY,NP,General_information,1,2.585
a nasty slip,NP,General_information,1,2.585
Unfortunately,ADVP,General_information,1,2.585
took,VP,General_information,1,2.585
in contact,PP,Care_Coordination,1,2.585
contact,NP,Care_Coordination,1,2.585
checked,VP,General_information,1,1.585
have been,VP,General_information,1,1.585
work,NP,General_information,1,1.0
daily,ADVP,General_information,1,2.585
at work,PP,General_information,1,2.585
a good indicator,NP,Diagnostics,1,2.585
in the past,PP,Diagnostics,1,2.585
the past,NP,Diagnostics,1,2.585
for me,PP,Diagnostics,1,0.585
in both lower legs/ankles,PP,Symptoms,1,2.585
think,VP,Symptoms,1,2.585
The swelling,NP,Symptoms,1,2.585
both lower legs/ankles,NP,Symptoms,1,2.585
am consulting,VP,Care_Coordination,1,2.585
with Dr. Person1,PP,Care_Coordination,1,1.585
her thoughts,NP,Care_Coordination,1,2.585
a new medication,NP,Drugs,1,2.585
to have prescribed,VP,Drugs,1,2.585
appear,VP,Drugs,1,2.585
have just received,VP,Drugs,1,2.585
haven seen,VP,Diagnostics,1,2.585
a result,NP,Diagnostics,1,1.0
to keep,VP,Drugs,2,2.585
Trying,VP,Drugs,2,2.585
Oxy,NP,Drugs,2,2.585
to go,VP,Drugs,2,2.0
at MM/DD/YYYY,PP,Drugs,2,1.263
a couple,NP,Symptoms,1,2.585
they,NP,Symptoms,1,-0.585
after a couple,PP,Symptoms,1,2.585
of hours,PP,Symptoms,1,2.585
do make,VP,Symptoms,1,2.585
hours,NP,Symptoms,1,2.585
really,ADVP,Symptoms,2,1.263
a promotion,NP,General_information,1,2.585
did not realize,VP,General_information,1,2.585
got,VP,General_information,1,0.585
with the nail discomfort,PP,General_information,1,2.585
the nail discomfort,NP,General_information,1,2.585
can help,VP,General_information,1,2.585
really,ADVP,General_information,1,0.263
This,NP,General_information,1,0.585
helping keep,VP,General_information,1,2.585
Dr  Person2,NP,Care_Coordination,1,0.585
to Dr  Person2,PP,Care_Coordination,1,2.585
radiation therapy,NP,Drugs,1,1.585
to my primary,PP,General_information,1,2.585
according,VP,General_information,1,2.585
my primary,NP,General_information,1,2.585
the platelets,NP,Diagnostics,1,2.585
The white count,NP,Diagnostics,1,2.585
the date,NP,Scheduling_appt,1,2.585
with the date,PP,Scheduling_appt,1,2.585
am,VP,Symptoms,2,2.0
at 10:00am,PP,Scheduling_appt,1,2.585
10:00am,NP,Scheduling_appt,1,2.585
an come,NP,Scheduling_appt,1,2.585
your injection,NP,Scheduling_appt,1,2.585
get,VP,Scheduling_appt,1,0.585
c,VP,Scheduling_appt,1,2.585
was speaking,VP,Care_Coordination,1,2.585
Dr. Person4,NP,Care_Coordination,1,2.585
Dr. Person5,NP,Care_Coordination,1,2.585
MSKCC,NP,Care_Coordination,1,2.585
of info,PP,Care_Coordination,1,2.585
with Dr. Person5,PP,Care_Coordination,1,2.585
info,NP,Care_Coordination,1,2.585
for Dr. Person3,PP,Care_Coordination,1,2.585
with my daily activities,PP,Symptoms,1,2.585
is interfering,VP,Symptoms,1,2.585
my daily activities,NP,Symptoms,1,2.585
that time,NP,Care_Coordination,1,2.585
an appt,NP,Care_Coordination,1,0.585
can show,VP,Care_Coordination,1,2.585
have,VP,Care_Coordination,2,-0.1155
at that time,PP,Care_Coordination,1,2.585
with Dr.Person1,PP,Care_Coordination,1,2.585
Dr.Person1,NP,Care_Coordination,1,2.585
know,VP,Scheduling_appt,1,0.585
works,VP,Scheduling_appt,1,1.585
Let,VP,Scheduling_appt,1,2.585
a time frame,NP,Scheduling_appt,1,2.585
scans,NP,Diagnostics,1,2.585
will just repeat,VP,Diagnostics,1,2.585
advised,VP,Diagnostics,1,1.585
in MM/DD/YYYY,PP,Diagnostics,1,1.0
so,ADVP,Diagnostics,2,1.585
with a manual diff,PP,Diagnostics,1,2.585
sometimes,ADVP,Diagnostics,1,1.0
takes,VP,Diagnostics,1,0.585
a manual diff,NP,Diagnostics,1,2.585
The CBC,NP,Diagnostics,1,2.585
with my pulmonologist,PP,Care_Coordination,1,2.585
about five minutes,NP,Care_Coordination,1,2.585
a meeting,NP,Care_Coordination,1,2.585
in about five minutes,PP,Care_Coordination,1,2.585
about,ADVP,Care_Coordination,1,1.585
my pulmonologist,NP,Care_Coordination,1,2.585
above,ADVP,Symptoms,1,2.585
in the chest area,PP,Symptoms,1,2.585
of my breast,PP,Symptoms,1,2.585
on the left side,PP,Symptoms,1,2.585
my breast,NP,Symptoms,1,2.585
the left side,NP,Symptoms,1,2.585
the chest area,NP,Symptoms,1,2.585
have had,VP,Symptoms,1,2.585
set,NP,Symptoms,1,2.585
the correct wording,NP,Symptoms,1,2.585
has passed,VP,Symptoms,1,2.585
symptom,NP,Symptoms,1,2.585
the 10 day quarantine,NP,Symptoms,1,2.585
whatever,NP,Symptoms,1,2.585
longer,ADVP,Symptoms,1,1.585
on set,PP,Symptoms,1,2.585
of symptom,PP,Symptoms,1,2.585
would be,VP,Symptoms,1,1.585
about the renal,PP,Symptoms,1,2.585
He,NP,Symptoms,1,-0.415
the renal,NP,Symptoms,1,2.585
possibly,ADVP,Symptoms,1,2.585
cysts,VP,Symptoms,1,2.585
